Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2018,Place of Residence,Imperial,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Imperial,10 - 14 years,0,06/10/2021
Death,2018,Place of Residence,Imperial,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Imperial,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Imperial,25 - 29 years,15,06/10/2021
Death,2018,Place of Residence,Imperial,30 - 34 years,13,06/10/2021
Death,2018,Place of Residence,Imperial,35 - 39 years,20,06/10/2021
Death,2018,Place of Residence,Imperial,40 - 44 years,22,06/10/2021
Death,2018,Place of Residence,Imperial,45 - 49 years,31,06/10/2021
Death,2018,Place of Residence,Imperial,50 - 54 years,49,06/10/2021
Death,2018,Place of Residence,Imperial,55 - 59 years,64,06/10/2021
Death,2018,Place of Residence,Imperial,60 - 64 years,111,06/10/2021
Death,2018,Place of Residence,Imperial,65 - 69 years,110,06/10/2021
Death,2018,Place of Residence,Imperial,70 - 74 years,104,06/10/2021
Death,2018,Place of Residence,Imperial,75 - 79 years,121,06/10/2021
Death,2018,Place of Residence,Imperial,80 - 84 years,137,06/10/2021
Death,2018,Place of Residence,Imperial,85 - 89 years,147,06/10/2021
Death,2018,Place of Residence,Imperial,90 - 94 years,131,06/10/2021
Death,2018,Place of Residence,Imperial,95 - 99 years,63,06/10/2021
Death,2018,Place of Residence,Imperial,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Inyo,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Inyo,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Inyo,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Inyo,10 - 14 years,0,06/10/2021
Death,2018,Place of Residence,Inyo,15 - 19 years,0,06/10/2021
Death,2018,Place of Residence,Inyo,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,35 - 39 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,45 - 49 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,50 - 54 years,<11,06/10/2021
Death,2018,Place of Residence,Inyo,55 - 59 years,14,06/10/2021
Death,2018,Place of Residence,Inyo,60 - 64 years,13,06/10/2021
Death,2018,Place of Residence,Inyo,65 - 69 years,26,06/10/2021
Death,2018,Place of Residence,Inyo,70 - 74 years,23,06/10/2021
Death,2018,Place of Residence,Inyo,75 - 79 years,14,06/10/2021
Death,2018,Place of Residence,Inyo,80 - 84 years,26,06/10/2021
Death,2018,Place of Residence,Inyo,85 - 89 years,28,06/10/2021
Death,2018,Place of Residence,Inyo,90 - 94 years,28,06/10/2021
Death,2018,Place of Residence,Inyo,95 - 99 years,12,06/10/2021
Death,2018,Place of Residence,Inyo,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Kern,Less than 1 year,61,06/10/2021
Death,2018,Place of Residence,Kern,1 - 4 years,24,06/10/2021
Death,2018,Place of Residence,Kern,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Kern,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Kern,15 - 19 years,38,06/10/2021
Death,2018,Place of Residence,Kern,20 - 24 years,84,06/10/2021
Death,2018,Place of Residence,Kern,25 - 29 years,93,06/10/2021
Death,2018,Place of Residence,Kern,30 - 34 years,106,06/10/2021
Death,2018,Place of Residence,Kern,35 - 39 years,115,06/10/2021
Death,2018,Place of Residence,Kern,40 - 44 years,123,06/10/2021
Death,2018,Place of Residence,Kern,45 - 49 years,189,06/10/2021
Death,2018,Place of Residence,Kern,50 - 54 years,308,06/10/2021
Death,2018,Place of Residence,Kern,55 - 59 years,450,06/10/2021
Death,2018,Place of Residence,Kern,60 - 64 years,550,06/10/2021
Death,2018,Place of Residence,Kern,65 - 69 years,607,06/10/2021
Death,2018,Place of Residence,Kern,70 - 74 years,669,06/10/2021
Death,2018,Place of Residence,Kern,75 - 79 years,719,06/10/2021
Death,2018,Place of Residence,Kern,80 - 84 years,692,06/10/2021
Death,2018,Place of Residence,Kern,85 - 89 years,668,06/10/2021
Death,2018,Place of Residence,Kern,90 - 94 years,497,06/10/2021
Death,2018,Place of Residence,Kern,95 - 99 years,192,06/10/2021
Death,2018,Place of Residence,Kern,100 years and over,36,06/10/2021
Death,2018,Place of Residence,Kings,Less than 1 year,12,06/10/2021
Death,2018,Place of Residence,Kings,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,25 - 29 years,18,06/10/2021
Death,2018,Place of Residence,Kings,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Kings,35 - 39 years,14,06/10/2021
Death,2018,Place of Residence,Kings,40 - 44 years,19,06/10/2021
Death,2018,Place of Residence,Kings,45 - 49 years,28,06/10/2021
Death,2018,Place of Residence,Kings,50 - 54 years,40,06/10/2021
Death,2018,Place of Residence,Kings,55 - 59 years,64,06/10/2021
Death,2018,Place of Residence,Kings,60 - 64 years,73,06/10/2021
Death,2018,Place of Residence,Kings,65 - 69 years,83,06/10/2021
Death,2018,Place of Residence,Kings,70 - 74 years,85,06/10/2021
Death,2018,Place of Residence,Kings,75 - 79 years,73,06/10/2021
Death,2018,Place of Residence,Kings,80 - 84 years,89,06/10/2021
Death,2018,Place of Residence,Kings,85 - 89 years,111,06/10/2021
Death,2018,Place of Residence,Kings,90 - 94 years,91,06/10/2021
Death,2018,Place of Residence,Kings,95 - 99 years,36,06/10/2021
Death,2018,Place of Residence,Kings,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Lake,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Lake,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Lake,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Lake,10 - 14 years,0,06/10/2021
Death,2018,Place of Residence,Lake,15 - 19 years,0,06/10/2021
Death,2018,Place of Residence,Lake,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Lake,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Lake,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Lake,35 - 39 years,12,06/10/2021
Death,2018,Place of Residence,Lake,40 - 44 years,18,06/10/2021
Death,2018,Place of Residence,Lake,45 - 49 years,18,06/10/2021
Death,2018,Place of Residence,Lake,50 - 54 years,30,06/10/2021
Death,2018,Place of Residence,Lake,55 - 59 years,64,06/10/2021
Death,2018,Place of Residence,Lake,60 - 64 years,89,06/10/2021
Death,2018,Place of Residence,Lake,65 - 69 years,116,06/10/2021
Death,2018,Place of Residence,Lake,70 - 74 years,112,06/10/2021
Death,2018,Place of Residence,Lake,75 - 79 years,84,06/10/2021
Death,2018,Place of Residence,Lake,80 - 84 years,97,06/10/2021
Death,2018,Place of Residence,Lake,85 - 89 years,92,06/10/2021
Death,2018,Place of Residence,Lake,90 - 94 years,72,06/10/2021
Death,2018,Place of Residence,Lake,95 - 99 years,29,06/10/2021
Death,2018,Place of Residence,Lake,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Lassen,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Lassen,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Lassen,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Lassen,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,15 - 19 years,0,06/10/2021
Death,2018,Place of Residence,Lassen,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,35 - 39 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,45 - 49 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,50 - 54 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,55 - 59 years,13,06/10/2021
Death,2018,Place of Residence,Lassen,60 - 64 years,16,06/10/2021
Death,2018,Place of Residence,Lassen,65 - 69 years,22,06/10/2021
Death,2018,Place of Residence,Lassen,70 - 74 years,32,06/10/2021
Death,2018,Place of Residence,Lassen,75 - 79 years,42,06/10/2021
Death,2018,Place of Residence,Lassen,80 - 84 years,24,06/10/2021
Death,2018,Place of Residence,Lassen,85 - 89 years,28,06/10/2021
Death,2018,Place of Residence,Lassen,90 - 94 years,28,06/10/2021
Death,2018,Place of Residence,Lassen,95 - 99 years,<11,06/10/2021
Death,2018,Place of Residence,Lassen,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Los Angeles,Less than 1 year,437,06/10/2021
Death,2018,Place of Residence,Los Angeles,1 - 4 years,78,06/10/2021
Death,2018,Place of Residence,Los Angeles,5 - 9 years,43,06/10/2021
Death,2018,Place of Residence,Los Angeles,10 - 14 years,67,06/10/2021
Death,2018,Place of Residence,Los Angeles,15 - 19 years,210,06/10/2021
Death,2018,Place of Residence,Los Angeles,20 - 24 years,465,06/10/2021
Death,2018,Place of Residence,Los Angeles,25 - 29 years,650,06/10/2021
Death,2018,Place of Residence,Los Angeles,30 - 34 years,704,06/10/2021
Death,2018,Place of Residence,Los Angeles,35 - 39 years,878,06/10/2021
Death,2018,Place of Residence,Los Angeles,40 - 44 years,991,06/10/2021
Death,2018,Place of Residence,Los Angeles,45 - 49 years,1583,06/10/2021
Death,2018,Place of Residence,Los Angeles,50 - 54 years,2432,06/10/2021
Death,2018,Place of Residence,Los Angeles,55 - 59 years,3609,06/10/2021
Death,2018,Place of Residence,Los Angeles,60 - 64 years,4752,06/10/2021
Death,2018,Place of Residence,Los Angeles,65 - 69 years,5356,06/10/2021
Death,2018,Place of Residence,Los Angeles,70 - 74 years,6040,06/10/2021
Death,2018,Place of Residence,Los Angeles,75 - 79 years,6582,06/10/2021
Death,2018,Place of Residence,Los Angeles,80 - 84 years,7721,06/10/2021
Death,2018,Place of Residence,Los Angeles,85 - 89 years,8895,06/10/2021
Death,2018,Place of Residence,Los Angeles,90 - 94 years,7737,06/10/2021
Death,2018,Place of Residence,Los Angeles,95 - 99 years,3976,06/10/2021
Death,2018,Place of Residence,Los Angeles,100 years and over,993,06/10/2021
Death,2018,Place of Residence,Madera,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Madera,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,25 - 29 years,12,06/10/2021
Death,2018,Place of Residence,Madera,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Madera,35 - 39 years,16,06/10/2021
Death,2018,Place of Residence,Madera,40 - 44 years,18,06/10/2021
Death,2018,Place of Residence,Madera,45 - 49 years,27,06/10/2021
Death,2018,Place of Residence,Madera,50 - 54 years,47,06/10/2021
Death,2018,Place of Residence,Madera,55 - 59 years,57,06/10/2021
Death,2018,Place of Residence,Madera,60 - 64 years,91,06/10/2021
Death,2018,Place of Residence,Madera,65 - 69 years,130,06/10/2021
Death,2018,Place of Residence,Madera,70 - 74 years,109,06/10/2021
Death,2018,Place of Residence,Madera,75 - 79 years,132,06/10/2021
Death,2018,Place of Residence,Madera,80 - 84 years,132,06/10/2021
Death,2018,Place of Residence,Madera,85 - 89 years,128,06/10/2021
Death,2018,Place of Residence,Madera,90 - 94 years,94,06/10/2021
Death,2018,Place of Residence,Madera,95 - 99 years,46,06/10/2021
Death,2018,Place of Residence,Madera,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Marin,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Marin,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Marin,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Marin,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Marin,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Marin,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Marin,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Marin,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Marin,35 - 39 years,16,06/10/2021
Death,2018,Place of Residence,Marin,40 - 44 years,15,06/10/2021
Death,2018,Place of Residence,Marin,45 - 49 years,20,06/10/2021
Death,2018,Place of Residence,Marin,50 - 54 years,37,06/10/2021
Death,2018,Place of Residence,Marin,55 - 59 years,68,06/10/2021
Death,2018,Place of Residence,Marin,60 - 64 years,79,06/10/2021
Death,2018,Place of Residence,Marin,65 - 69 years,138,06/10/2021
Death,2018,Place of Residence,Marin,70 - 74 years,175,06/10/2021
Death,2018,Place of Residence,Marin,75 - 79 years,231,06/10/2021
Death,2018,Place of Residence,Marin,80 - 84 years,265,06/10/2021
Death,2018,Place of Residence,Marin,85 - 89 years,310,06/10/2021
Death,2018,Place of Residence,Marin,90 - 94 years,315,06/10/2021
Death,2018,Place of Residence,Marin,95 - 99 years,186,06/10/2021
Death,2018,Place of Residence,Marin,100 years and over,41,06/10/2021
Death,2018,Place of Residence,Mariposa,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,10 - 14 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,15 - 19 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,25 - 29 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,30 - 34 years,0,06/10/2021
Death,2018,Place of Residence,Mariposa,35 - 39 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,45 - 49 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,50 - 54 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,55 - 59 years,<11,06/10/2021
Death,2018,Place of Residence,Mariposa,60 - 64 years,21,06/10/2021
Death,2018,Place of Residence,Mariposa,65 - 69 years,23,06/10/2021
Death,2018,Place of Residence,Mariposa,70 - 74 years,22,06/10/2021
Death,2018,Place of Residence,Mariposa,75 - 79 years,31,06/10/2021
Death,2018,Place of Residence,Mariposa,80 - 84 years,32,06/10/2021
Death,2018,Place of Residence,Mariposa,85 - 89 years,29,06/10/2021
Death,2018,Place of Residence,Mariposa,90 - 94 years,24,06/10/2021
Death,2018,Place of Residence,Mariposa,95 - 99 years,12,06/10/2021
Death,2018,Place of Residence,Mariposa,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Mendocino,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Mendocino,35 - 39 years,11,06/10/2021
Death,2018,Place of Residence,Mendocino,40 - 44 years,12,06/10/2021
Death,2018,Place of Residence,Mendocino,45 - 49 years,20,06/10/2021
Death,2018,Place of Residence,Mendocino,50 - 54 years,33,06/10/2021
Death,2018,Place of Residence,Mendocino,55 - 59 years,48,06/10/2021
Death,2018,Place of Residence,Mendocino,60 - 64 years,53,06/10/2021
Death,2018,Place of Residence,Mendocino,65 - 69 years,94,06/10/2021
Death,2018,Place of Residence,Mendocino,70 - 74 years,96,06/10/2021
Death,2018,Place of Residence,Mendocino,75 - 79 years,86,06/10/2021
Death,2018,Place of Residence,Mendocino,80 - 84 years,78,06/10/2021
Death,2018,Place of Residence,Mendocino,85 - 89 years,97,06/10/2021
Death,2018,Place of Residence,Mendocino,90 - 94 years,88,06/10/2021
Death,2018,Place of Residence,Mendocino,95 - 99 years,39,06/10/2021
Death,2018,Place of Residence,Mendocino,100 years and over,15,06/10/2021
Death,2018,Place of Residence,Merced,Less than 1 year,15,06/10/2021
Death,2018,Place of Residence,Merced,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Merced,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Merced,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Merced,15 - 19 years,11,06/10/2021
Death,2018,Place of Residence,Merced,20 - 24 years,14,06/10/2021
Death,2018,Place of Residence,Merced,25 - 29 years,19,06/10/2021
Death,2018,Place of Residence,Merced,30 - 34 years,27,06/10/2021
Death,2018,Place of Residence,Merced,35 - 39 years,23,06/10/2021
Death,2018,Place of Residence,Merced,40 - 44 years,34,06/10/2021
Death,2018,Place of Residence,Merced,45 - 49 years,42,06/10/2021
Death,2018,Place of Residence,Merced,50 - 54 years,80,06/10/2021
Death,2018,Place of Residence,Merced,55 - 59 years,102,06/10/2021
Death,2018,Place of Residence,Merced,60 - 64 years,153,06/10/2021
Death,2018,Place of Residence,Merced,65 - 69 years,156,06/10/2021
Death,2018,Place of Residence,Merced,70 - 74 years,195,06/10/2021
Death,2018,Place of Residence,Merced,75 - 79 years,184,06/10/2021
Death,2018,Place of Residence,Merced,80 - 84 years,224,06/10/2021
Death,2018,Place of Residence,Merced,85 - 89 years,215,06/10/2021
Death,2018,Place of Residence,Merced,90 - 94 years,174,06/10/2021
Death,2018,Place of Residence,Merced,95 - 99 years,83,06/10/2021
Death,2018,Place of Residence,Merced,100 years and over,17,06/10/2021
Death,2018,Place of Residence,Modoc,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Modoc,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Modoc,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Modoc,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,20 - 24 years,0,06/10/2021
Death,2018,Place of Residence,Modoc,25 - 29 years,0,06/10/2021
Death,2018,Place of Residence,Modoc,30 - 34 years,0,06/10/2021
Death,2018,Place of Residence,Modoc,35 - 39 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,45 - 49 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,50 - 54 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,55 - 59 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,60 - 64 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,65 - 69 years,12,06/10/2021
Death,2018,Place of Residence,Modoc,70 - 74 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,75 - 79 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,80 - 84 years,16,06/10/2021
Death,2018,Place of Residence,Modoc,85 - 89 years,17,06/10/2021
Death,2018,Place of Residence,Modoc,90 - 94 years,14,06/10/2021
Death,2018,Place of Residence,Modoc,95 - 99 years,<11,06/10/2021
Death,2018,Place of Residence,Modoc,100 years and over,<11,06/10/2021
Death,2018,Place of Residence,Mono,Less than 1 year,0,06/10/2021
Death,2018,Place of Residence,Mono,1 - 4 years,0,06/10/2021
Death,2018,Place of Residence,Mono,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Mono,10 - 14 years,0,06/10/2021
Death,2018,Place of Residence,Mono,15 - 19 years,0,06/10/2021
Death,2018,Place of Residence,Mono,20 - 24 years,0,06/10/2021
Death,2018,Place of Residence,Mono,25 - 29 years,0,06/10/2021
Death,2018,Place of Residence,Mono,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,35 - 39 years,0,06/10/2021
Death,2018,Place of Residence,Mono,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,45 - 49 years,0,06/10/2021
Death,2018,Place of Residence,Mono,50 - 54 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,55 - 59 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,60 - 64 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,65 - 69 years,11,06/10/2021
Death,2018,Place of Residence,Mono,70 - 74 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,75 - 79 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,80 - 84 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,85 - 89 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,90 - 94 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,95 - 99 years,<11,06/10/2021
Death,2018,Place of Residence,Mono,100 years and over,0,06/10/2021
Death,2018,Place of Residence,Monterey,Less than 1 year,30,06/10/2021
Death,2018,Place of Residence,Monterey,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Monterey,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Monterey,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Monterey,15 - 19 years,14,06/10/2021
Death,2018,Place of Residence,Monterey,20 - 24 years,25,06/10/2021
Death,2018,Place of Residence,Monterey,25 - 29 years,33,06/10/2021
Death,2018,Place of Residence,Monterey,30 - 34 years,22,06/10/2021
Death,2018,Place of Residence,Monterey,35 - 39 years,37,06/10/2021
Death,2018,Place of Residence,Monterey,40 - 44 years,45,06/10/2021
Death,2018,Place of Residence,Monterey,45 - 49 years,71,06/10/2021
Death,2018,Place of Residence,Monterey,50 - 54 years,95,06/10/2021
Death,2018,Place of Residence,Monterey,55 - 59 years,119,06/10/2021
Death,2018,Place of Residence,Monterey,60 - 64 years,177,06/10/2021
Death,2018,Place of Residence,Monterey,65 - 69 years,216,06/10/2021
Death,2018,Place of Residence,Monterey,70 - 74 years,206,06/10/2021
Death,2018,Place of Residence,Monterey,75 - 79 years,268,06/10/2021
Death,2018,Place of Residence,Monterey,80 - 84 years,288,06/10/2021
Death,2018,Place of Residence,Monterey,85 - 89 years,396,06/10/2021
Death,2018,Place of Residence,Monterey,90 - 94 years,368,06/10/2021
Death,2018,Place of Residence,Monterey,95 - 99 years,177,06/10/2021
Death,2018,Place of Residence,Monterey,100 years and over,47,06/10/2021
Death,2018,Place of Residence,Napa,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Napa,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Napa,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,35 - 39 years,<11,06/10/2021
Death,2018,Place of Residence,Napa,40 - 44 years,17,06/10/2021
Death,2018,Place of Residence,Napa,45 - 49 years,16,06/10/2021
Death,2018,Place of Residence,Napa,50 - 54 years,30,06/10/2021
Death,2018,Place of Residence,Napa,55 - 59 years,47,06/10/2021
Death,2018,Place of Residence,Napa,60 - 64 years,69,06/10/2021
Death,2018,Place of Residence,Napa,65 - 69 years,94,06/10/2021
Death,2018,Place of Residence,Napa,70 - 74 years,102,06/10/2021
Death,2018,Place of Residence,Napa,75 - 79 years,116,06/10/2021
Death,2018,Place of Residence,Napa,80 - 84 years,145,06/10/2021
Death,2018,Place of Residence,Napa,85 - 89 years,174,06/10/2021
Death,2018,Place of Residence,Napa,90 - 94 years,201,06/10/2021
Death,2018,Place of Residence,Napa,95 - 99 years,106,06/10/2021
Death,2018,Place of Residence,Napa,100 years and over,15,06/10/2021
Death,2018,Place of Residence,Nevada,Less than 1 year,0,06/10/2021
Death,2018,Place of Residence,Nevada,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,5 - 9 years,0,06/10/2021
Death,2018,Place of Residence,Nevada,10 - 14 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,15 - 19 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,20 - 24 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,25 - 29 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,30 - 34 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,35 - 39 years,14,06/10/2021
Death,2018,Place of Residence,Nevada,40 - 44 years,<11,06/10/2021
Death,2018,Place of Residence,Nevada,45 - 49 years,13,06/10/2021
Death,2018,Place of Residence,Nevada,50 - 54 years,28,06/10/2021
Death,2018,Place of Residence,Nevada,55 - 59 years,60,06/10/2021
Death,2018,Place of Residence,Nevada,60 - 64 years,66,06/10/2021
Death,2018,Place of Residence,Nevada,65 - 69 years,96,06/10/2021
Death,2018,Place of Residence,Nevada,70 - 74 years,118,06/10/2021
Death,2018,Place of Residence,Nevada,75 - 79 years,111,06/10/2021
Death,2018,Place of Residence,Nevada,80 - 84 years,136,06/10/2021
Death,2018,Place of Residence,Nevada,85 - 89 years,148,06/10/2021
Death,2018,Place of Residence,Nevada,90 - 94 years,146,06/10/2021
Death,2018,Place of Residence,Nevada,95 - 99 years,88,06/10/2021
Death,2018,Place of Residence,Nevada,100 years and over,22,06/10/2021
Death,2018,Place of Residence,Orange,Less than 1 year,113,06/10/2021
Death,2018,Place of Residence,Orange,1 - 4 years,17,06/10/2021
Death,2018,Place of Residence,Orange,5 - 9 years,13,06/10/2021
Death,2018,Place of Residence,Orange,10 - 14 years,23,06/10/2021
Death,2018,Place of Residence,Orange,15 - 19 years,80,06/10/2021
Death,2018,Place of Residence,Orange,20 - 24 years,146,06/10/2021
Death,2018,Place of Residence,Orange,25 - 29 years,164,06/10/2021
Death,2018,Place of Residence,Orange,30 - 34 years,162,06/10/2021
Death,2018,Place of Residence,Orange,35 - 39 years,213,06/10/2021
Death,2018,Place of Residence,Orange,40 - 44 years,236,06/10/2021
Death,2018,Place of Residence,Orange,45 - 49 years,414,06/10/2021
Death,2018,Place of Residence,Orange,50 - 54 years,624,06/10/2021
Death,2018,Place of Residence,Orange,55 - 59 years,957,06/10/2021
Death,2018,Place of Residence,Orange,60 - 64 years,1255,06/10/2021
Death,2018,Place of Residence,Orange,65 - 69 years,1423,06/10/2021
Death,2018,Place of Residence,Orange,70 - 74 years,1828,06/10/2021
Death,2018,Place of Residence,Orange,75 - 79 years,2240,06/10/2021
Death,2018,Place of Residence,Orange,80 - 84 years,2714,06/10/2021
Death,2018,Place of Residence,Orange,85 - 89 years,3193,06/10/2021
Death,2018,Place of Residence,Orange,90 - 94 years,2930,06/10/2021
Death,2018,Place of Residence,Orange,95 - 99 years,1435,06/10/2021
Death,2018,Place of Residence,Orange,100 years and over,295,06/10/2021
Death,2018,Place of Residence,Placer,Less than 1 year,<11,06/10/2021
Death,2018,Place of Residence,Placer,1 - 4 years,<11,06/10/2021
Death,2018,Place of Residence,Placer,5 - 9 years,<11,06/10/2021
Death,2018,Place of Residence,Placer,10 - 14 years,<11,06/10/2021
