Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Alameda,100 years and over,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Widowed,57,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alameda,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,Less than 1 year,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,1 - 4 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,5 - 9 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,10 - 14 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,15 - 19 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,20 - 24 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,25 - 29 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alpine,30 - 34 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,35 - 39 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,40 - 44 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,45 - 49 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alpine,50 - 54 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,55 - 59 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Alpine,60 - 64 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,65 - 69 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,70 - 74 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,75 - 79 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,80 - 84 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,85 - 89 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Alpine,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Widowed,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Divorced,0,06/10/2021
Death,2021,Place of Residence,Alpine,100 years and over,Never Married,0,06/10/2021
