Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Sex,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Butte,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,1 - 4 years,Male,0,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,Female,0,06/10/2021
Death,2021,Place of Residence,Butte,5 - 9 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,Female,0,06/10/2021
Death,2021,Place of Residence,Butte,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,15 - 19 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,Female,0,06/10/2021
Death,2021,Place of Residence,Butte,20 - 24 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,25 - 29 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,30 - 34 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,35 - 39 years,Male,11,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,40 - 44 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,45 - 49 years,Male,14,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,50 - 54 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,Female,17,06/10/2021
Death,2021,Place of Residence,Butte,55 - 59 years,Male,23,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,Female,20,06/10/2021
Death,2021,Place of Residence,Butte,60 - 64 years,Male,43,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,Female,32,06/10/2021
Death,2021,Place of Residence,Butte,65 - 69 years,Male,47,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,Female,40,06/10/2021
Death,2021,Place of Residence,Butte,70 - 74 years,Male,64,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,Female,38,06/10/2021
Death,2021,Place of Residence,Butte,75 - 79 years,Male,46,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,Female,40,06/10/2021
Death,2021,Place of Residence,Butte,80 - 84 years,Male,57,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,Female,51,06/10/2021
Death,2021,Place of Residence,Butte,85 - 89 years,Male,51,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,Female,67,06/10/2021
Death,2021,Place of Residence,Butte,90 - 94 years,Male,28,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,Female,33,06/10/2021
Death,2021,Place of Residence,Butte,95 - 99 years,Male,13,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,Female,<11,06/10/2021
Death,2021,Place of Residence,Butte,100 years and over,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,Less than 1 year,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,1 - 4 years,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,5 - 9 years,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,15 - 19 years,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,20 - 24 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,25 - 29 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,30 - 34 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,35 - 39 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,40 - 44 years,Male,0,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,45 - 49 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,50 - 54 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,55 - 59 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,60 - 64 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,65 - 69 years,Male,12,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,70 - 74 years,Male,19,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,Female,15,06/10/2021
Death,2021,Place of Residence,Calaveras,75 - 79 years,Male,17,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,80 - 84 years,Male,18,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,Female,11,06/10/2021
Death,2021,Place of Residence,Calaveras,85 - 89 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,Female,11,06/10/2021
Death,2021,Place of Residence,Calaveras,90 - 94 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,Female,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,95 - 99 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,Female,0,06/10/2021
Death,2021,Place of Residence,Calaveras,100 years and over,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,Less than 1 year,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,1 - 4 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,5 - 9 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,10 - 14 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,15 - 19 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,20 - 24 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,25 - 29 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,30 - 34 years,Male,0,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,35 - 39 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,40 - 44 years,Female,0,06/10/2021
Death,2021,Place of Residence,Colusa,40 - 44 years,Male,<11,06/10/2021
Death,2021,Place of Residence,Colusa,45 - 49 years,Female,0,06/10/2021
