County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
Amador,60 - 64 years,14,60,30,76,60,72,30,6,24,30,12,24,0,0,168,24,181,12,50,81,36,12,36,67,121,160,12,36,rural,0,1,0
Amador,65 - 69 years,15,60,50,97,50,76,30,0,18,24,12,12,0,6,202,18,211,12,58,116,36,6,36,59,153,149,12,64,rural,0,1,0
Amador,70 - 74 years,16,60,50,108,61,101,10,6,0,36,0,6,0,0,270,24,274,6,60,161,30,12,36,113,173,200,12,79,rural,0,1,0
Amador,75 - 79 years,17,60,60,155,60,95,40,0,6,18,12,6,6,0,313,36,309,18,57,164,36,18,82,143,181,222,12,97,rural,0,1,0
Amador,80 - 84 years,18,60,60,153,60,108,60,18,6,30,0,12,0,0,354,36,351,30,47,184,30,6,128,151,225,221,6,154,rural,0,1,0
Amador,85 - 89 years,19,61,60,185,67,79,30,12,0,36,6,12,0,0,363,36,360,18,36,131,24,6,212,193,195,231,6,156,rural,0,1,0
Amador,90 - 94 years,20,60,60,159,60,71,10,6,0,30,0,6,6,0,322,36,322,6,30,90,36,0,220,179,158,195,0,142,rural,0,1,0
Amador,95 - 99 years,21,60,50,82,60,60,20,0,6,18,0,12,0,0,146,30,144,6,36,36,18,0,116,91,50,100,0,42,rural,0,1,0
Amador,100 years and over,22,10,30,50,50,40,0,0,0,0,0,0,0,0,36,6,36,0,6,12,0,0,30,30,36,30,0,24,rural,0,1,0
Butte,Less than 1 year,1,0,0,0,64,0,0,6,12,24,30,6,0,0,36,0,48,0,0,0,48,0,0,36,36,48,0,0,suburban,0,0,1
Butte,1 - 4 years,2,0,0,0,60,0,0,6,0,18,0,6,0,0,30,0,36,0,0,0,36,0,0,24,36,36,0,0,suburban,0,0,1
Butte,5 - 9 years,3,0,0,0,60,0,0,12,0,12,12,6,0,0,24,0,36,0,0,0,36,0,0,30,24,36,0,0,suburban,0,0,1
Butte,10 - 14 years,4,0,0,0,60,0,0,0,0,18,0,0,0,0,24,0,36,0,0,0,36,0,0,12,24,36,0,0,suburban,0,0,1
Butte,15 - 19 years,5,0,0,50,60,30,10,24,0,30,6,6,0,0,30,18,36,0,0,0,36,6,0,30,36,36,0,0,suburban,0,0,1
Butte,20 - 24 years,6,20,0,60,60,60,10,6,12,36,18,6,0,0,58,18,90,6,0,6,91,0,0,36,58,91,0,6,suburban,0,0,1
Butte,25 - 29 years,7,30,10,60,40,64,0,18,18,30,18,12,0,0,77,18,99,0,36,36,82,0,6,36,79,95,0,30,suburban,0,0,1
Butte,30 - 34 years,8,40,10,60,60,61,10,18,24,36,12,18,0,0,82,24,109,6,36,36,77,0,6,41,81,110,0,24,suburban,0,0,1
Butte,35 - 39 years,9,50,30,74,60,60,10,24,18,36,12,18,0,0,121,30,147,0,30,36,88,6,6,46,102,149,12,24,suburban,0,0,1
Butte,40 - 44 years,10,40,50,69,60,63,30,18,24,36,30,18,0,6,132,36,152,6,43,36,67,18,18,61,109,163,18,18,suburban,0,0,1
Butte,45 - 49 years,11,60,60,109,60,80,20,36,18,36,12,12,0,6,216,36,238,12,85,93,68,6,24,90,175,246,18,36,suburban,0,0,1
Butte,50 - 54 years,12,60,60,187,94,132,60,24,12,43,24,30,18,0,409,36,444,36,155,169,123,30,36,188,297,433,30,36,suburban,0,0,1
Butte,55 - 59 years,13,78,50,344,164,204,60,36,36,45,30,36,6,6,697,43,746,36,285,280,177,36,50,324,497,723,36,80,suburban,0,0,1
Butte,60 - 64 years,14,105,64,435,169,339,60,36,36,57,24,36,12,12,988,57,1027,36,432,401,190,36,77,437,687,930,36,180,suburban,0,0,1
Butte,65 - 69 years,15,157,86,451,153,448,60,36,36,46,36,36,18,24,1184,71,1228,36,439,555,160,36,147,534,797,968,36,335,suburban,0,0,1
Butte,70 - 74 years,16,152,86,537,158,421,60,30,36,50,30,36,24,6,1259,50,1286,36,404,592,82,30,278,623,758,940,36,412,suburban,0,0,1
Butte,75 - 79 years,17,154,111,586,230,416,60,30,36,67,36,36,12,12,1361,116,1374,42,342,676,57,30,430,728,793,1074,36,423,suburban,0,0,1
Butte,80 - 84 years,18,196,121,661,273,424,60,36,36,68,30,36,6,6,1557,135,1548,36,273,709,36,18,674,865,837,1106,36,578,suburban,0,0,1
Butte,85 - 89 years,19,237,141,763,347,466,60,36,30,78,30,30,12,0,1819,162,1790,30,229,623,36,18,1079,1087,880,1286,30,669,suburban,0,0,1
Butte,90 - 94 years,20,209,128,752,237,374,60,30,36,63,30,24,6,6,1612,131,1574,30,136,364,36,24,1187,1062,657,1113,30,592,suburban,0,0,1
Butte,95 - 99 years,21,102,62,341,139,210,60,18,24,36,12,6,0,0,820,41,797,30,49,103,36,6,676,589,274,604,30,252,suburban,0,0,1
Butte,100 years and over,22,60,30,69,61,60,30,6,6,18,6,0,0,0,147,36,140,6,24,24,0,0,136,124,36,134,6,36,suburban,0,0,1
Calaveras,Less than 1 year,1,0,0,0,50,0,0,0,0,12,0,6,0,0,30,0,30,0,0,0,30,0,0,18,24,30,0,0,rural,0,1,0
Calaveras,1 - 4 years,2,0,0,0,20,0,0,0,0,0,6,0,0,0,6,0,12,0,0,0,12,0,0,6,6,12,0,0,rural,0,1,0
Calaveras,5 - 9 years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
Calaveras,10 - 14 years,4,0,0,0,20,0,0,0,6,6,0,0,0,0,6,0,12,0,0,0,12,0,0,12,6,12,0,0,rural,0,1,0
Calaveras,15 - 19 years,5,0,0,30,50,20,0,0,0,18,0,6,0,0,24,0,30,0,0,0,30,0,0,12,30,30,0,0,rural,0,1,0
Calaveras,20 - 24 years,6,0,0,40,10,50,0,0,0,12,0,6,6,0,36,6,36,0,0,0,36,0,6,24,36,36,0,0,rural,0,1,0
Calaveras,25 - 29 years,7,0,0,50,30,50,10,0,6,12,6,0,0,0,36,0,36,6,12,18,36,6,0,36,36,36,6,6,rural,0,1,0
Calaveras,30 - 34 years,8,10,0,50,20,50,0,0,6,18,0,0,0,0,36,0,36,6,18,24,30,0,0,24,36,36,0,12,rural,0,1,0
Calaveras,35 - 39 years,9,10,0,40,30,30,0,0,0,6,0,6,0,0,30,6,30,0,12,24,18,0,0,12,30,30,0,0,rural,0,1,0
Calaveras,40 - 44 years,10,30,0,60,20,40,10,0,0,12,0,0,6,0,36,6,36,6,18,30,24,0,6,36,36,36,6,12,rural,0,1,0
Calaveras,45 - 49 years,11,30,20,60,40,60,20,6,0,18,6,18,0,0,44,6,55,0,36,36,36,0,12,36,41,53,0,18,rural,0,1,0
Calaveras,50 - 54 years,12,30,10,61,60,50,10,6,0,18,0,0,0,0,80,12,75,12,36,36,36,6,24,36,47,78,6,24,rural,0,1,0
Calaveras,55 - 59 years,13,50,40,84,60,61,10,0,6,30,12,12,6,6,154,30,164,0,59,78,36,6,30,65,100,152,6,36,rural,0,1,0
