Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran,age_cat,veteran_cat,Description
2014,Amador,10 - 14 years,No,0,4,1,rural
2014,Amador,10 - 14 years,Yes,0,4,3,rural
2014,Amador,15 - 19 years,Unknown,0,5,2,rural
2014,Amador,15 - 19 years,Yes,0,5,3,rural
2014,Amador,15 - 19 years,No,0,5,1,rural
2014,Amador,20 - 24 years,No,6,6,1,rural
2014,Amador,20 - 24 years,Unknown,0,6,2,rural
2014,Amador,20 - 24 years,Yes,0,6,3,rural
2014,Amador,25 - 29 years,Yes,0,7,3,rural
2014,Amador,25 - 29 years,No,6,7,1,rural
2014,Amador,25 - 29 years,Unknown,0,7,2,rural
2014,Amador,30 - 34 years,No,6,8,1,rural
2014,Amador,30 - 34 years,Yes,6,8,3,rural
2014,Amador,30 - 34 years,Unknown,0,8,2,rural
2014,Amador,35 - 39 years,No,6,9,1,rural
2014,Amador,35 - 39 years,Unknown,0,9,2,rural
2014,Amador,35 - 39 years,Yes,0,9,3,rural
2014,Amador,40 - 44 years,Yes,0,10,3,rural
2014,Amador,40 - 44 years,Unknown,0,10,2,rural
2014,Amador,40 - 44 years,No,6,10,1,rural
2014,Amador,45 - 49 years,Unknown,6,11,2,rural
2014,Amador,45 - 49 years,No,6,11,1,rural
2014,Amador,45 - 49 years,Yes,0,11,3,rural
2014,Amador,50 - 54 years,Yes,6,12,3,rural
2014,Amador,50 - 54 years,No,13,12,1,rural
2014,Amador,50 - 54 years,Unknown,0,12,2,rural
2014,Amador,55 - 59 years,Yes,6,13,3,rural
2014,Amador,55 - 59 years,Unknown,0,13,2,rural
2014,Amador,55 - 59 years,No,19,13,1,rural
2014,Amador,60 - 64 years,No,24,14,1,rural
2014,Amador,60 - 64 years,Yes,6,14,3,rural
2014,Amador,60 - 64 years,Unknown,0,14,2,rural
2014,Amador,65 - 69 years,Yes,14,15,3,rural
2014,Amador,65 - 69 years,Unknown,0,15,2,rural
2014,Amador,65 - 69 years,No,24,15,1,rural
2014,Amador,70 - 74 years,Yes,16,16,3,rural
2014,Amador,70 - 74 years,No,26,16,1,rural
2014,Amador,70 - 74 years,Unknown,0,16,2,rural
2014,Amador,75 - 79 years,Yes,21,17,3,rural
2014,Amador,75 - 79 years,Unknown,6,17,2,rural
2014,Amador,75 - 79 years,No,22,17,1,rural
2014,Amador,80 - 84 years,No,30,18,1,rural
2014,Amador,80 - 84 years,Yes,19,18,3,rural
2014,Amador,80 - 84 years,Unknown,0,18,2,rural
2014,Amador,85 - 89 years,Unknown,0,19,2,rural
2014,Amador,85 - 89 years,No,44,19,1,rural
2014,Amador,85 - 89 years,Yes,35,19,3,rural
2014,Amador,90 - 94 years,Unknown,0,20,2,rural
2014,Amador,90 - 94 years,Yes,23,20,3,rural
2014,Amador,90 - 94 years,No,40,20,1,rural
2014,Amador,95 - 99 years,Yes,6,21,3,rural
2014,Amador,95 - 99 years,No,21,21,1,rural
2014,Amador,95 - 99 years,Unknown,0,21,2,rural
2014,Amador,100 years and over,No,6,22,1,rural
2014,Amador,100 years and over,Unknown,0,22,2,rural
2014,Amador,100 years and over,Yes,0,22,3,rural
2014,Butte,Less than 1 year,Yes,0,1,3,suburban
2014,Butte,Less than 1 year,Unknown,0,1,2,suburban
2014,Butte,Less than 1 year,No,11,1,1,suburban
2014,Butte,1 - 4 years,No,6,2,1,suburban
2014,Butte,1 - 4 years,Yes,0,2,3,suburban
2014,Butte,1 - 4 years,Unknown,0,2,2,suburban
2014,Butte,5 - 9 years,No,6,3,1,suburban
2014,Butte,5 - 9 years,Unknown,0,3,2,suburban
2014,Butte,5 - 9 years,Yes,0,3,3,suburban
2014,Butte,10 - 14 years,Unknown,0,4,2,suburban
2014,Butte,10 - 14 years,Yes,0,4,3,suburban
2014,Butte,10 - 14 years,No,6,4,1,suburban
2014,Butte,15 - 19 years,Unknown,0,5,2,suburban
2014,Butte,15 - 19 years,Yes,0,5,3,suburban
2014,Butte,15 - 19 years,No,6,5,1,suburban
2014,Butte,20 - 24 years,No,16,6,1,suburban
2014,Butte,20 - 24 years,Unknown,0,6,2,suburban
2014,Butte,20 - 24 years,Yes,0,6,3,suburban
2014,Butte,25 - 29 years,Yes,6,7,3,suburban
2014,Butte,25 - 29 years,No,14,7,1,suburban
2014,Butte,25 - 29 years,Unknown,0,7,2,suburban
2014,Butte,30 - 34 years,Yes,6,8,3,suburban
2014,Butte,30 - 34 years,No,6,8,1,suburban
2014,Butte,30 - 34 years,Unknown,0,8,2,suburban
2014,Butte,35 - 39 years,No,21,9,1,suburban
2014,Butte,35 - 39 years,Unknown,0,9,2,suburban
2014,Butte,35 - 39 years,Yes,6,9,3,suburban
2014,Butte,40 - 44 years,Unknown,6,10,2,suburban
2014,Butte,40 - 44 years,No,21,10,1,suburban
2014,Butte,40 - 44 years,Yes,6,10,3,suburban
2014,Butte,45 - 49 years,Unknown,0,11,2,suburban
2014,Butte,45 - 49 years,No,41,11,1,suburban
2014,Butte,45 - 49 years,Yes,6,11,3,suburban
2014,Butte,50 - 54 years,No,73,12,1,suburban
2014,Butte,50 - 54 years,Unknown,6,12,2,suburban
2014,Butte,50 - 54 years,Yes,6,12,3,suburban
2014,Butte,55 - 59 years,Unknown,6,13,2,suburban
2014,Butte,55 - 59 years,Yes,18,13,3,suburban
2014,Butte,55 - 59 years,No,119,13,1,suburban
2014,Butte,60 - 64 years,Yes,36,14,3,suburban
2014,Butte,60 - 64 years,Unknown,6,14,2,suburban
2014,Butte,60 - 64 years,No,146,14,1,suburban
2014,Butte,65 - 69 years,Yes,54,15,3,suburban
2014,Butte,65 - 69 years,No,124,15,1,suburban
2014,Butte,65 - 69 years,Unknown,6,15,2,suburban
2014,Butte,70 - 74 years,Yes,43,16,3,suburban
2014,Butte,70 - 74 years,No,132,16,1,suburban
2014,Butte,70 - 74 years,Unknown,6,16,2,suburban
2014,Butte,75 - 79 years,Yes,60,17,3,suburban
2014,Butte,75 - 79 years,Unknown,6,17,2,suburban
2014,Butte,75 - 79 years,No,155,17,1,suburban
2014,Butte,80 - 84 years,Unknown,6,18,2,suburban
2014,Butte,80 - 84 years,Yes,112,18,3,suburban
2014,Butte,80 - 84 years,No,163,18,1,suburban
2014,Butte,85 - 89 years,Unknown,6,19,2,suburban
2014,Butte,85 - 89 years,No,197,19,1,suburban
2014,Butte,85 - 89 years,Yes,117,19,3,suburban
2014,Butte,90 - 94 years,No,156,20,1,suburban
2014,Butte,90 - 94 years,Yes,92,20,3,suburban
2014,Butte,90 - 94 years,Unknown,6,20,2,suburban
2014,Butte,95 - 99 years,Unknown,0,21,2,suburban
2014,Butte,95 - 99 years,Yes,29,21,3,suburban
2014,Butte,95 - 99 years,No,91,21,1,suburban
2014,Butte,100 years and over,No,16,22,1,suburban
2014,Butte,100 years and over,Unknown,0,22,2,suburban
2014,Butte,100 years and over,Yes,6,22,3,suburban
2014,Calaveras,Less than 1 year,Yes,0,1,3,rural
2014,Calaveras,Less than 1 year,No,6,1,1,rural
2014,Calaveras,Less than 1 year,Unknown,0,1,2,rural
2014,Calaveras,1 - 4 years,Unknown,0,2,2,rural
2014,Calaveras,1 - 4 years,No,0,2,1,rural
2014,Calaveras,1 - 4 years,Yes,0,2,3,rural
2014,Calaveras,5 - 9 years,Yes,0,3,3,rural
2014,Calaveras,5 - 9 years,Unknown,0,3,2,rural
2014,Calaveras,5 - 9 years,No,0,3,1,rural
2014,Calaveras,10 - 14 years,Yes,0,4,3,rural
2014,Calaveras,10 - 14 years,Unknown,0,4,2,rural
2014,Calaveras,10 - 14 years,No,0,4,1,rural
2014,Calaveras,15 - 19 years,No,6,5,1,rural
2014,Calaveras,15 - 19 years,Yes,0,5,3,rural
2014,Calaveras,15 - 19 years,Unknown,0,5,2,rural
2014,Calaveras,20 - 24 years,Yes,0,6,3,rural
2014,Calaveras,20 - 24 years,Unknown,0,6,2,rural
2014,Calaveras,20 - 24 years,No,6,6,1,rural
2014,Calaveras,25 - 29 years,Unknown,0,7,2,rural
2014,Calaveras,25 - 29 years,Yes,0,7,3,rural
2014,Calaveras,25 - 29 years,No,6,7,1,rural
2014,Calaveras,30 - 34 years,No,6,8,1,rural
2014,Calaveras,30 - 34 years,Unknown,0,8,2,rural
2014,Calaveras,30 - 34 years,Yes,0,8,3,rural
2014,Calaveras,35 - 39 years,Yes,0,9,3,rural
2014,Calaveras,35 - 39 years,No,6,9,1,rural
2014,Calaveras,35 - 39 years,Unknown,0,9,2,rural
2014,Calaveras,40 - 44 years,No,6,10,1,rural
2014,Calaveras,40 - 44 years,Unknown,0,10,2,rural
2014,Calaveras,40 - 44 years,Yes,0,10,3,rural
2014,Calaveras,45 - 49 years,No,6,11,1,rural
2014,Calaveras,45 - 49 years,Yes,0,11,3,rural
2014,Calaveras,45 - 49 years,Unknown,0,11,2,rural
2014,Calaveras,50 - 54 years,Yes,6,12,3,rural
2014,Calaveras,50 - 54 years,Unknown,0,12,2,rural
2014,Calaveras,50 - 54 years,No,17,12,1,rural
2014,Calaveras,55 - 59 years,Yes,6,13,3,rural
2014,Calaveras,55 - 59 years,No,35,13,1,rural
2014,Calaveras,55 - 59 years,Unknown,0,13,2,rural
2014,Calaveras,60 - 64 years,Yes,6,14,3,rural
2014,Calaveras,60 - 64 years,Unknown,0,14,2,rural
2014,Calaveras,60 - 64 years,No,31,14,1,rural
2014,Calaveras,65 - 69 years,Unknown,6,15,2,rural
2014,Calaveras,65 - 69 years,Yes,16,15,3,rural
2014,Calaveras,65 - 69 years,No,28,15,1,rural
2014,Calaveras,70 - 74 years,Unknown,6,16,2,rural
2014,Calaveras,70 - 74 years,Yes,29,16,3,rural
2014,Calaveras,70 - 74 years,No,37,16,1,rural
2014,Calaveras,75 - 79 years,Unknown,6,17,2,rural
2014,Calaveras,75 - 79 years,No,42,17,1,rural
2014,Calaveras,75 - 79 years,Yes,25,17,3,rural
2014,Calaveras,80 - 84 years,Unknown,0,18,2,rural
2014,Calaveras,80 - 84 years,No,37,18,1,rural
2014,Calaveras,80 - 84 years,Yes,35,18,3,rural
2014,Calaveras,85 - 89 years,Yes,21,19,3,rural
2014,Calaveras,85 - 89 years,No,51,19,1,rural
2014,Calaveras,85 - 89 years,Unknown,0,19,2,rural
2014,Calaveras,90 - 94 years,Unknown,6,20,2,rural
2014,Calaveras,90 - 94 years,Yes,22,20,3,rural
2014,Calaveras,90 - 94 years,No,27,20,1,rural
2014,Calaveras,95 - 99 years,No,15,21,1,rural
2014,Calaveras,95 - 99 years,Yes,6,21,3,rural
2014,Calaveras,95 - 99 years,Unknown,0,21,2,rural
2014,Calaveras,100 years and over,No,6,22,1,rural
2014,Calaveras,100 years and over,Unknown,0,22,2,rural
2014,Calaveras,100 years and over,Yes,6,22,3,rural
2014,Colusa,Less than 1 year,Yes,0,1,3,rural
2014,Colusa,Less than 1 year,No,0,1,1,rural
2014,Colusa,Less than 1 year,Unknown,0,1,2,rural
2014,Colusa,1 - 4 years,Yes,0,2,3,rural
2014,Colusa,1 - 4 years,Unknown,0,2,2,rural
2014,Colusa,1 - 4 years,No,0,2,1,rural
2014,Colusa,5 - 9 years,No,6,3,1,rural
2014,Colusa,5 - 9 years,Yes,0,3,3,rural
2014,Colusa,5 - 9 years,Unknown,0,3,2,rural
2014,Colusa,10 - 14 years,No,0,4,1,rural
2014,Colusa,10 - 14 years,Yes,0,4,3,rural
2014,Colusa,10 - 14 years,Unknown,0,4,2,rural
2014,Colusa,15 - 19 years,Unknown,0,5,2,rural
2014,Colusa,15 - 19 years,Yes,0,5,3,rural
2014,Colusa,15 - 19 years,No,6,5,1,rural
2014,Colusa,20 - 24 years,Unknown,0,6,2,rural
2014,Colusa,20 - 24 years,Yes,0,6,3,rural
2014,Colusa,20 - 24 years,No,6,6,1,rural
2014,Colusa,25 - 29 years,No,6,7,1,rural
2014,Colusa,25 - 29 years,Yes,0,7,3,rural
2014,Colusa,25 - 29 years,Unknown,0,7,2,rural
2014,Colusa,30 - 34 years,Yes,0,8,3,rural
2014,Colusa,30 - 34 years,No,6,8,1,rural
2014,Colusa,30 - 34 years,Unknown,0,8,2,rural
2014,Colusa,35 - 39 years,Yes,0,9,3,rural
2014,Colusa,35 - 39 years,No,6,9,1,rural
2014,Colusa,35 - 39 years,Unknown,0,9,2,rural
2014,Colusa,40 - 44 years,Unknown,0,10,2,rural
2014,Colusa,40 - 44 years,Yes,0,10,3,rural
2014,Colusa,40 - 44 years,No,6,10,1,rural
2014,Colusa,45 - 49 years,No,6,11,1,rural
2014,Colusa,45 - 49 years,Unknown,0,11,2,rural
2014,Colusa,45 - 49 years,Yes,0,11,3,rural
2014,Colusa,50 - 54 years,Yes,0,12,3,rural
2014,Colusa,50 - 54 years,Unknown,0,12,2,rural
2014,Colusa,50 - 54 years,No,6,12,1,rural
2014,Colusa,55 - 59 years,Unknown,0,13,2,rural
2014,Colusa,55 - 59 years,No,14,13,1,rural
2014,Colusa,55 - 59 years,Yes,6,13,3,rural
2014,Colusa,60 - 64 years,Unknown,0,14,2,rural
2014,Colusa,60 - 64 years,Yes,6,14,3,rural
2014,Colusa,60 - 64 years,No,6,14,1,rural
2014,Colusa,65 - 69 years,Yes,0,15,3,rural
2014,Colusa,65 - 69 years,Unknown,0,15,2,rural
2014,Colusa,65 - 69 years,No,6,15,1,rural
2014,Colusa,70 - 74 years,Unknown,0,16,2,rural
2014,Colusa,70 - 74 years,No,6,16,1,rural
2014,Colusa,70 - 74 years,Yes,6,16,3,rural
2014,Colusa,75 - 79 years,No,6,17,1,rural
2014,Colusa,75 - 79 years,Yes,6,17,3,rural
2014,Colusa,75 - 79 years,Unknown,6,17,2,rural
