Year_of_Death,County_of_Residence,Age,age_cat,bachelors_degree,graduate_degree,high_school_or_GED,less_than_high_school,some_college_credit,edu_unknown,asian,black_african_american,hispanic,multi_race,native_american,other_unknown,pi_native_hawaiian,white,foreign_born,united_states,immigration_unknown,divorced,married,never_married,marital_unknown,widowed,female,male,veteran_no,veteran_unknown,veteran_yes,Description,urban,rural,suburban
2014,Calaveras,25 - 29 years,7,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Calaveras,30 - 34 years,8,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0,6,6,0,0,rural,0,1,0
2014,Calaveras,35 - 39 years,9,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,0,6,6,0,0,rural,0,1,0
2014,Calaveras,40 - 44 years,10,10,0,10,0,0,0,0,0,6,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Calaveras,45 - 49 years,11,10,10,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Calaveras,50 - 54 years,12,10,0,10,10,10,0,0,0,6,0,0,0,0,17,0,18,6,6,6,6,0,6,6,6,17,0,6,rural,0,1,0
2014,Calaveras,55 - 59 years,13,10,10,18,10,10,0,0,0,6,0,6,0,0,34,6,37,0,11,24,6,0,0,17,21,35,0,6,rural,0,1,0
2014,Calaveras,60 - 64 years,14,10,0,15,10,14,0,0,0,6,6,6,0,0,32,0,35,0,13,17,6,0,6,6,25,31,0,6,rural,0,1,0
2014,Calaveras,65 - 69 years,15,10,10,18,10,11,10,0,6,6,6,0,0,0,41,6,42,6,14,22,6,6,6,18,27,28,6,16,rural,0,1,0
2014,Calaveras,70 - 74 years,16,10,10,33,10,13,10,0,6,6,6,6,0,0,60,6,64,6,6,44,6,6,6,21,46,37,6,29,rural,0,1,0
2014,Calaveras,75 - 79 years,17,11,10,24,10,21,0,0,0,6,0,6,0,0,65,6,64,0,6,41,6,0,20,27,41,42,6,25,rural,0,1,0
2014,Calaveras,80 - 84 years,18,10,10,29,14,21,10,0,6,6,6,6,0,0,63,6,70,0,6,43,6,0,23,31,41,37,0,35,rural,0,1,0
2014,Calaveras,85 - 89 years,19,10,10,34,15,13,0,0,0,6,0,6,0,0,69,6,66,6,6,31,6,0,37,39,33,51,0,21,rural,0,1,0
2014,Calaveras,90 - 94 years,20,10,10,21,10,11,0,0,0,6,6,0,0,0,48,6,49,0,6,17,6,0,31,27,23,27,6,22,rural,0,1,0
2014,Calaveras,95 - 99 years,21,10,10,11,10,10,10,0,0,6,0,0,0,0,19,0,21,0,6,6,0,0,16,14,6,15,0,6,rural,0,1,0
2014,Calaveras,100 years and over,22,10,10,10,10,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,6,6,6,6,0,6,rural,0,1,0
2014,Colusa,Less than 1 year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Colusa,1 - 4 years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Colusa,5 - 9 years,3,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Colusa,10 - 14 years,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rural,0,1,0
2014,Colusa,15 - 19 years,5,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Colusa,20 - 24 years,6,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Colusa,25 - 29 years,7,0,0,10,10,0,0,0,0,6,0,0,0,0,0,6,6,0,0,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Colusa,30 - 34 years,8,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,6,6,0,0,rural,0,1,0
2014,Colusa,35 - 39 years,9,0,0,10,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,6,0,0,rural,0,1,0
2014,Colusa,40 - 44 years,10,0,0,10,10,10,0,0,0,6,0,0,0,0,6,6,6,0,0,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Colusa,45 - 49 years,11,0,0,10,0,10,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,6,6,0,6,0,0,rural,0,1,0
2014,Colusa,50 - 54 years,12,0,0,10,10,0,0,0,0,6,0,0,0,0,6,0,6,0,6,6,6,0,0,6,6,6,0,0,rural,0,1,0
2014,Colusa,55 - 59 years,13,0,10,10,10,10,0,0,0,6,0,0,0,0,6,6,12,0,6,6,6,0,0,6,6,14,0,6,rural,0,1,0
2014,Colusa,60 - 64 years,14,10,10,0,10,0,0,0,0,6,0,0,0,0,6,6,6,0,6,6,6,0,0,6,6,6,0,6,rural,0,1,0
2014,Colusa,65 - 69 years,15,0,0,10,10,10,0,6,0,6,0,6,0,0,6,6,6,6,6,6,0,0,6,6,6,6,0,0,rural,0,1,0
