Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Alpine,1 - 4 years,Unknown,0,2,6,rural
2014,Alpine,1 - 4 years,Graduate Degree,0,2,2,rural
2014,Alpine,5 - 9 years,Less than High School,0,3,4,rural
2014,Alpine,5 - 9 years,Bachelor's Degree,0,3,1,rural
2014,Alpine,5 - 9 years,"Some College Credit, No 4-Year Degree",0,3,5,rural
2014,Alpine,5 - 9 years,Graduate Degree,0,3,2,rural
2014,Alpine,5 - 9 years,High School Graduate or GED Completed,0,3,3,rural
2014,Alpine,5 - 9 years,Unknown,0,3,6,rural
2014,Alpine,10 - 14 years,Less than High School,0,4,4,rural
2014,Alpine,10 - 14 years,Bachelor's Degree,0,4,1,rural
2014,Alpine,10 - 14 years,"Some College Credit, No 4-Year Degree",0,4,5,rural
2014,Alpine,10 - 14 years,Graduate Degree,0,4,2,rural
2014,Alpine,10 - 14 years,Unknown,0,4,6,rural
2014,Alpine,10 - 14 years,High School Graduate or GED Completed,0,4,3,rural
2014,Alpine,15 - 19 years,Unknown,0,5,6,rural
2014,Alpine,15 - 19 years,High School Graduate or GED Completed,0,5,3,rural
2014,Alpine,15 - 19 years,Less than High School,0,5,4,rural
2014,Alpine,15 - 19 years,Graduate Degree,0,5,2,rural
2014,Alpine,15 - 19 years,"Some College Credit, No 4-Year Degree",0,5,5,rural
2014,Alpine,15 - 19 years,Bachelor's Degree,0,5,1,rural
2014,Alpine,20 - 24 years,Graduate Degree,0,6,2,rural
2014,Alpine,20 - 24 years,Unknown,0,6,6,rural
2014,Alpine,20 - 24 years,Less than High School,0,6,4,rural
2014,Alpine,20 - 24 years,High School Graduate or GED Completed,0,6,3,rural
2014,Alpine,20 - 24 years,"Some College Credit, No 4-Year Degree",0,6,5,rural
2014,Alpine,20 - 24 years,Bachelor's Degree,0,6,1,rural
2014,Alpine,25 - 29 years,Less than High School,0,7,4,rural
2014,Alpine,25 - 29 years,High School Graduate or GED Completed,0,7,3,rural
2014,Alpine,25 - 29 years,"Some College Credit, No 4-Year Degree",0,7,5,rural
2014,Alpine,25 - 29 years,Graduate Degree,0,7,2,rural
2014,Alpine,25 - 29 years,Unknown,0,7,6,rural
2014,Alpine,25 - 29 years,Bachelor's Degree,0,7,1,rural
2014,Alpine,30 - 34 years,"Some College Credit, No 4-Year Degree",10,8,5,rural
2014,Alpine,30 - 34 years,Graduate Degree,0,8,2,rural
2014,Alpine,30 - 34 years,High School Graduate or GED Completed,0,8,3,rural
2014,Alpine,30 - 34 years,Unknown,0,8,6,rural
2014,Alpine,30 - 34 years,Less than High School,0,8,4,rural
2014,Alpine,30 - 34 years,Bachelor's Degree,0,8,1,rural
2014,Alpine,35 - 39 years,Bachelor's Degree,0,9,1,rural
2014,Alpine,35 - 39 years,Graduate Degree,0,9,2,rural
2014,Alpine,35 - 39 years,Less than High School,0,9,4,rural
2014,Alpine,35 - 39 years,Unknown,0,9,6,rural
2014,Alpine,35 - 39 years,"Some College Credit, No 4-Year Degree",0,9,5,rural
2014,Alpine,35 - 39 years,High School Graduate or GED Completed,0,9,3,rural
2014,Alpine,40 - 44 years,High School Graduate or GED Completed,10,10,3,rural
2014,Alpine,40 - 44 years,Graduate Degree,0,10,2,rural
2014,Alpine,40 - 44 years,Bachelor's Degree,0,10,1,rural
2014,Alpine,40 - 44 years,Unknown,0,10,6,rural
2014,Alpine,40 - 44 years,Less than High School,0,10,4,rural
2014,Alpine,40 - 44 years,"Some College Credit, No 4-Year Degree",0,10,5,rural
2014,Alpine,45 - 49 years,Graduate Degree,0,11,2,rural
2014,Alpine,45 - 49 years,"Some College Credit, No 4-Year Degree",0,11,5,rural
2014,Alpine,45 - 49 years,Less than High School,0,11,4,rural
2014,Alpine,45 - 49 years,High School Graduate or GED Completed,10,11,3,rural
2014,Alpine,45 - 49 years,Unknown,0,11,6,rural
2014,Alpine,45 - 49 years,Bachelor's Degree,0,11,1,rural
2014,Alpine,50 - 54 years,Less than High School,0,12,4,rural
2014,Alpine,50 - 54 years,Bachelor's Degree,0,12,1,rural
2014,Alpine,50 - 54 years,Graduate Degree,0,12,2,rural
2014,Alpine,50 - 54 years,High School Graduate or GED Completed,0,12,3,rural
2014,Alpine,50 - 54 years,Unknown,0,12,6,rural
2014,Alpine,50 - 54 years,"Some College Credit, No 4-Year Degree",10,12,5,rural
2014,Alpine,55 - 59 years,Unknown,0,13,6,rural
2014,Alpine,55 - 59 years,Bachelor's Degree,0,13,1,rural
2014,Alpine,55 - 59 years,High School Graduate or GED Completed,0,13,3,rural
2014,Alpine,55 - 59 years,"Some College Credit, No 4-Year Degree",0,13,5,rural
2014,Alpine,55 - 59 years,Less than High School,10,13,4,rural
2014,Alpine,55 - 59 years,Graduate Degree,0,13,2,rural
2014,Alpine,60 - 64 years,High School Graduate or GED Completed,0,14,3,rural
2014,Alpine,60 - 64 years,Bachelor's Degree,10,14,1,rural
2014,Alpine,60 - 64 years,Unknown,0,14,6,rural
2014,Alpine,60 - 64 years,"Some College Credit, No 4-Year Degree",10,14,5,rural
2014,Alpine,60 - 64 years,Graduate Degree,0,14,2,rural
2014,Alpine,60 - 64 years,Less than High School,0,14,4,rural
2014,Alpine,65 - 69 years,Less than High School,0,15,4,rural
2014,Alpine,65 - 69 years,High School Graduate or GED Completed,10,15,3,rural
2014,Alpine,65 - 69 years,"Some College Credit, No 4-Year Degree",10,15,5,rural
