Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex,age_cat,sex_cat,Description
2014,Butte,20 - 24 years,Male,11,6,2,suburban
2014,Butte,20 - 24 years,Female,6,6,1,suburban
2014,Butte,25 - 29 years,Female,6,7,1,suburban
2014,Butte,25 - 29 years,Male,13,7,2,suburban
2014,Butte,30 - 34 years,Female,6,8,1,suburban
2014,Butte,30 - 34 years,Male,6,8,2,suburban
2014,Butte,35 - 39 years,Female,11,9,1,suburban
2014,Butte,35 - 39 years,Male,11,9,2,suburban
2014,Butte,40 - 44 years,Female,6,10,1,suburban
2014,Butte,40 - 44 years,Male,16,10,2,suburban
2014,Butte,45 - 49 years,Male,32,11,2,suburban
2014,Butte,45 - 49 years,Female,12,11,1,suburban
2014,Butte,50 - 54 years,Male,55,12,2,suburban
2014,Butte,50 - 54 years,Female,27,12,1,suburban
2014,Butte,55 - 59 years,Male,89,13,2,suburban
2014,Butte,55 - 59 years,Female,51,13,1,suburban
2014,Butte,60 - 64 years,Female,79,14,1,suburban
2014,Butte,60 - 64 years,Male,105,14,2,suburban
2014,Butte,65 - 69 years,Female,77,15,1,suburban
2014,Butte,65 - 69 years,Male,103,15,2,suburban
2014,Butte,70 - 74 years,Male,94,16,2,suburban
2014,Butte,70 - 74 years,Female,84,16,1,suburban
2014,Butte,75 - 79 years,Male,112,17,2,suburban
2014,Butte,75 - 79 years,Female,106,17,1,suburban
2014,Butte,80 - 84 years,Male,145,18,2,suburban
2014,Butte,80 - 84 years,Female,132,18,1,suburban
2014,Butte,85 - 89 years,Male,144,19,2,suburban
2014,Butte,85 - 89 years,Female,172,19,1,suburban
2014,Butte,90 - 94 years,Female,153,20,1,suburban
2014,Butte,90 - 94 years,Male,97,20,2,suburban
2014,Butte,95 - 99 years,Male,37,21,2,suburban
2014,Butte,95 - 99 years,Female,83,21,1,suburban
2014,Butte,100 years and over,Female,13,22,1,suburban
2014,Butte,100 years and over,Male,6,22,2,suburban
2014,Calaveras,Less than 1 year,Female,6,1,1,rural
2014,Calaveras,Less than 1 year,Male,6,1,2,rural
2014,Calaveras,1 - 4 years,Female,0,2,1,rural
2014,Calaveras,1 - 4 years,Male,0,2,2,rural
2014,Calaveras,5 - 9 years,Male,0,3,2,rural
2014,Calaveras,5 - 9 years,Female,0,3,1,rural
2014,Calaveras,10 - 14 years,Male,0,4,2,rural
2014,Calaveras,10 - 14 years,Female,0,4,1,rural
2014,Calaveras,15 - 19 years,Female,0,5,1,rural
2014,Calaveras,15 - 19 years,Male,6,5,2,rural
2014,Calaveras,20 - 24 years,Female,6,6,1,rural
2014,Calaveras,20 - 24 years,Male,6,6,2,rural
2014,Calaveras,25 - 29 years,Male,6,7,2,rural
2014,Calaveras,25 - 29 years,Female,6,7,1,rural
2014,Calaveras,30 - 34 years,Male,6,8,2,rural
2014,Calaveras,30 - 34 years,Female,0,8,1,rural
2014,Calaveras,35 - 39 years,Female,0,9,1,rural
2014,Calaveras,35 - 39 years,Male,6,9,2,rural
2014,Calaveras,40 - 44 years,Female,6,10,1,rural
2014,Calaveras,40 - 44 years,Male,6,10,2,rural
2014,Calaveras,45 - 49 years,Male,6,11,2,rural
2014,Calaveras,45 - 49 years,Female,6,11,1,rural
2014,Calaveras,50 - 54 years,Male,6,12,2,rural
2014,Calaveras,50 - 54 years,Female,6,12,1,rural
2014,Calaveras,55 - 59 years,Male,21,13,2,rural
2014,Calaveras,55 - 59 years,Female,17,13,1,rural
2014,Calaveras,60 - 64 years,Female,6,14,1,rural
2014,Calaveras,60 - 64 years,Male,25,14,2,rural
2014,Calaveras,65 - 69 years,Male,27,15,2,rural
2014,Calaveras,65 - 69 years,Female,18,15,1,rural
2014,Calaveras,70 - 74 years,Female,21,16,1,rural
2014,Calaveras,70 - 74 years,Male,46,16,2,rural
2014,Calaveras,75 - 79 years,Male,41,17,2,rural
2014,Calaveras,75 - 79 years,Female,27,17,1,rural
2014,Calaveras,80 - 84 years,Female,31,18,1,rural
2014,Calaveras,80 - 84 years,Male,41,18,2,rural
2014,Calaveras,85 - 89 years,Male,33,19,2,rural
2014,Calaveras,85 - 89 years,Female,39,19,1,rural
2014,Calaveras,90 - 94 years,Male,23,20,2,rural
2014,Calaveras,90 - 94 years,Female,27,20,1,rural
2014,Calaveras,95 - 99 years,Female,14,21,1,rural
2014,Calaveras,95 - 99 years,Male,6,21,2,rural
2014,Calaveras,100 years and over,Female,6,22,1,rural
2014,Calaveras,100 years and over,Male,6,22,2,rural
2014,Colusa,Less than 1 year,Male,0,1,2,rural
2014,Colusa,Less than 1 year,Female,0,1,1,rural
2014,Colusa,1 - 4 years,Female,0,2,1,rural
2014,Colusa,1 - 4 years,Male,0,2,2,rural
2014,Colusa,5 - 9 years,Male,6,3,2,rural
2014,Colusa,5 - 9 years,Female,0,3,1,rural
2014,Colusa,10 - 14 years,Male,0,4,2,rural
2014,Colusa,10 - 14 years,Female,0,4,1,rural
2014,Colusa,15 - 19 years,Female,0,5,1,rural
2014,Colusa,15 - 19 years,Male,6,5,2,rural
2014,Colusa,20 - 24 years,Male,6,6,2,rural
