Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,Calaveras,65 - 69 years,Yes,6
2021,Calaveras,70 - 74 years,No,16
2021,Calaveras,70 - 74 years,Unknown,0
2021,Calaveras,70 - 74 years,Yes,6
2021,Calaveras,75 - 79 years,No,23
2021,Calaveras,75 - 79 years,Unknown,0
2021,Calaveras,75 - 79 years,Yes,6
2021,Calaveras,80 - 84 years,No,16
2021,Calaveras,80 - 84 years,Unknown,0
2021,Calaveras,80 - 84 years,Yes,6
2021,Calaveras,85 - 89 years,No,16
2021,Calaveras,85 - 89 years,Unknown,0
2021,Calaveras,85 - 89 years,Yes,6
2021,Calaveras,90 - 94 years,No,13
2021,Calaveras,90 - 94 years,Unknown,0
2021,Calaveras,90 - 94 years,Yes,6
2021,Calaveras,95 - 99 years,No,6
2021,Calaveras,95 - 99 years,Unknown,0
2021,Calaveras,95 - 99 years,Yes,6
2021,Calaveras,100 years and over,No,6
2021,Calaveras,100 years and over,Unknown,0
2021,Calaveras,100 years and over,Yes,6
2021,Colusa,Less than 1 year,No,6
2021,Colusa,Less than 1 year,Unknown,0
2021,Colusa,Less than 1 year,Yes,0
2021,Colusa,1 - 4 years,No,0
2021,Colusa,1 - 4 years,Unknown,0
2021,Colusa,1 - 4 years,Yes,0
2021,Colusa,5 - 9 years,No,0
2021,Colusa,5 - 9 years,Unknown,0
2021,Colusa,5 - 9 years,Yes,0
2021,Colusa,10 - 14 years,No,0
2021,Colusa,10 - 14 years,Unknown,0
2021,Colusa,10 - 14 years,Yes,0
2021,Colusa,15 - 19 years,No,0
2021,Colusa,15 - 19 years,Unknown,0
2021,Colusa,15 - 19 years,Yes,0
2021,Colusa,20 - 24 years,No,0
2021,Colusa,20 - 24 years,Unknown,0
2021,Colusa,20 - 24 years,Yes,0
2021,Colusa,25 - 29 years,No,0
2021,Colusa,25 - 29 years,Unknown,0
2021,Colusa,25 - 29 years,Yes,0
2021,Colusa,30 - 34 years,No,0
2021,Colusa,30 - 34 years,Unknown,0
2021,Colusa,30 - 34 years,Yes,0
2021,Colusa,35 - 39 years,No,6
2021,Colusa,35 - 39 years,Unknown,0
2021,Colusa,35 - 39 years,Yes,0
2021,Colusa,40 - 44 years,No,6
2021,Colusa,40 - 44 years,Unknown,0
2021,Colusa,40 - 44 years,Yes,0
2021,Colusa,45 - 49 years,No,0
2021,Colusa,45 - 49 years,Unknown,0
2021,Colusa,45 - 49 years,Yes,0
2021,Colusa,50 - 54 years,No,6
2021,Colusa,50 - 54 years,Unknown,0
2021,Colusa,50 - 54 years,Yes,0
2021,Colusa,55 - 59 years,No,6
2021,Colusa,55 - 59 years,Unknown,0
2021,Colusa,55 - 59 years,Yes,0
2021,Colusa,60 - 64 years,No,6
2021,Colusa,60 - 64 years,Unknown,0
2021,Colusa,60 - 64 years,Yes,0
2021,Colusa,65 - 69 years,No,6
2021,Colusa,65 - 69 years,Unknown,0
2021,Colusa,65 - 69 years,Yes,0
2021,Colusa,70 - 74 years,No,6
2021,Colusa,70 - 74 years,Unknown,0
2021,Colusa,70 - 74 years,Yes,6
2021,Colusa,75 - 79 years,No,11
2021,Colusa,75 - 79 years,Unknown,0
2021,Colusa,75 - 79 years,Yes,6
2021,Colusa,80 - 84 years,No,6
2021,Colusa,80 - 84 years,Unknown,0
2021,Colusa,80 - 84 years,Yes,6
2021,Colusa,85 - 89 years,No,6
2021,Colusa,85 - 89 years,Unknown,0
2021,Colusa,85 - 89 years,Yes,6
2021,Colusa,90 - 94 years,No,6
2021,Colusa,90 - 94 years,Unknown,0
2021,Colusa,90 - 94 years,Yes,6
2021,Colusa,95 - 99 years,No,6
2021,Colusa,95 - 99 years,Unknown,0
2021,Colusa,95 - 99 years,Yes,6
2021,Colusa,100 years and over,No,6
2021,Colusa,100 years and over,Unknown,0
2021,Colusa,100 years and over,Yes,6
2021,Contra Costa,Less than 1 year,No,13
2021,Contra Costa,Less than 1 year,Unknown,0
2021,Contra Costa,Less than 1 year,Yes,0
2021,Contra Costa,1 - 4 years,No,6
2021,Contra Costa,1 - 4 years,Unknown,0
2021,Contra Costa,1 - 4 years,Yes,0
2021,Contra Costa,5 - 9 years,No,6
2021,Contra Costa,5 - 9 years,Unknown,0
2021,Contra Costa,5 - 9 years,Yes,0
2021,Contra Costa,10 - 14 years,No,6
2021,Contra Costa,10 - 14 years,Unknown,0
2021,Contra Costa,10 - 14 years,Yes,0
2021,Contra Costa,15 - 19 years,No,6
2021,Contra Costa,15 - 19 years,Unknown,0
2021,Contra Costa,15 - 19 years,Yes,0
2021,Contra Costa,20 - 24 years,No,25
2021,Contra Costa,20 - 24 years,Unknown,6
2021,Contra Costa,20 - 24 years,Yes,0
2021,Contra Costa,25 - 29 years,No,33
2021,Contra Costa,25 - 29 years,Unknown,6
2021,Contra Costa,25 - 29 years,Yes,6
2021,Contra Costa,30 - 34 years,No,40
2021,Contra Costa,30 - 34 years,Unknown,0
2021,Contra Costa,30 - 34 years,Yes,6
2021,Contra Costa,35 - 39 years,No,45
2021,Contra Costa,35 - 39 years,Unknown,0
2021,Contra Costa,35 - 39 years,Yes,6
2021,Contra Costa,40 - 44 years,No,52
2021,Contra Costa,40 - 44 years,Unknown,0
2021,Contra Costa,40 - 44 years,Yes,0
2021,Contra Costa,45 - 49 years,No,64
2021,Contra Costa,45 - 49 years,Unknown,6
2021,Contra Costa,45 - 49 years,Yes,6
2021,Contra Costa,50 - 54 years,No,107
2021,Contra Costa,50 - 54 years,Unknown,6
2021,Contra Costa,50 - 54 years,Yes,6
2021,Contra Costa,55 - 59 years,No,138
2021,Contra Costa,55 - 59 years,Unknown,0
2021,Contra Costa,55 - 59 years,Yes,12
2021,Contra Costa,60 - 64 years,No,211
2021,Contra Costa,60 - 64 years,Unknown,6
2021,Contra Costa,60 - 64 years,Yes,19
2021,Contra Costa,65 - 69 years,No,217
2021,Contra Costa,65 - 69 years,Unknown,6
2021,Contra Costa,65 - 69 years,Yes,18
2021,Contra Costa,70 - 74 years,No,263
2021,Contra Costa,70 - 74 years,Unknown,6
2021,Contra Costa,70 - 74 years,Yes,54
2021,Contra Costa,75 - 79 years,No,296
2021,Contra Costa,75 - 79 years,Unknown,0
2021,Contra Costa,75 - 79 years,Yes,72
2021,Contra Costa,80 - 84 years,No,299
2021,Contra Costa,80 - 84 years,Unknown,0
2021,Contra Costa,80 - 84 years,Yes,96
2021,Contra Costa,85 - 89 years,No,330
2021,Contra Costa,85 - 89 years,Unknown,6
2021,Contra Costa,85 - 89 years,Yes,118
2021,Contra Costa,90 - 94 years,No,281
2021,Contra Costa,90 - 94 years,Unknown,6
2021,Contra Costa,90 - 94 years,Yes,93
2021,Contra Costa,95 - 99 years,No,170
2021,Contra Costa,95 - 99 years,Unknown,0
2021,Contra Costa,95 - 99 years,Yes,59
2021,Contra Costa,100 years and over,No,43
2021,Contra Costa,100 years and over,Unknown,0
2021,Contra Costa,100 years and over,Yes,6
2021,Del Norte,Less than 1 year,No,0
2021,Del Norte,Less than 1 year,Unknown,0
2021,Del Norte,Less than 1 year,Yes,0
2021,Del Norte,1 - 4 years,No,0
2021,Del Norte,1 - 4 years,Unknown,0
2021,Del Norte,1 - 4 years,Yes,0
2021,Del Norte,5 - 9 years,No,0
2021,Del Norte,5 - 9 years,Unknown,0
2021,Del Norte,5 - 9 years,Yes,0
2021,Del Norte,10 - 14 years,No,0
2021,Del Norte,10 - 14 years,Unknown,0
2021,Del Norte,10 - 14 years,Yes,0
2021,Del Norte,15 - 19 years,No,0
2021,Del Norte,15 - 19 years,Unknown,0
2021,Del Norte,15 - 19 years,Yes,0
2021,Del Norte,20 - 24 years,No,6
2021,Del Norte,20 - 24 years,Unknown,0
