Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Glenn,50 - 54 years,6
2021,Glenn,55 - 59 years,6
2021,Glenn,60 - 64 years,6
2021,Glenn,65 - 69 years,6
2021,Glenn,70 - 74 years,6
2021,Glenn,75 - 79 years,11
2021,Glenn,80 - 84 years,18
2021,Glenn,85 - 89 years,15
2021,Glenn,90 - 94 years,14
2021,Glenn,95 - 99 years,6
2021,Glenn,100 years and over,6
2021,Humboldt,Less than 1 year,0
2021,Humboldt,1 - 4 years,0
2021,Humboldt,5 - 9 years,0
2021,Humboldt,10 - 14 years,0
2021,Humboldt,15 - 19 years,6
2021,Humboldt,20 - 24 years,0
2021,Humboldt,25 - 29 years,6
2021,Humboldt,30 - 34 years,6
2021,Humboldt,35 - 39 years,6
2021,Humboldt,40 - 44 years,16
2021,Humboldt,45 - 49 years,11
2021,Humboldt,50 - 54 years,24
2021,Humboldt,55 - 59 years,27
2021,Humboldt,60 - 64 years,47
2021,Humboldt,65 - 69 years,51
2021,Humboldt,70 - 74 years,63
2021,Humboldt,75 - 79 years,60
2021,Humboldt,80 - 84 years,63
2021,Humboldt,85 - 89 years,65
2021,Humboldt,90 - 94 years,41
2021,Humboldt,95 - 99 years,20
2021,Humboldt,100 years and over,6
2021,Imperial,Less than 1 year,0
2021,Imperial,1 - 4 years,6
2021,Imperial,5 - 9 years,0
2021,Imperial,10 - 14 years,0
2021,Imperial,15 - 19 years,6
2021,Imperial,20 - 24 years,6
2021,Imperial,25 - 29 years,6
2021,Imperial,30 - 34 years,6
2021,Imperial,35 - 39 years,6
2021,Imperial,40 - 44 years,13
2021,Imperial,45 - 49 years,22
2021,Imperial,50 - 54 years,21
2021,Imperial,55 - 59 years,49
2021,Imperial,60 - 64 years,50
2021,Imperial,65 - 69 years,61
2021,Imperial,70 - 74 years,79
2021,Imperial,75 - 79 years,63
2021,Imperial,80 - 84 years,85
2021,Imperial,85 - 89 years,72
2021,Imperial,90 - 94 years,50
2021,Imperial,95 - 99 years,15
2021,Imperial,100 years and over,6
2021,Inyo,Less than 1 year,6
2021,Inyo,1 - 4 years,0
2021,Inyo,5 - 9 years,0
2021,Inyo,10 - 14 years,0
2021,Inyo,15 - 19 years,0
2021,Inyo,20 - 24 years,0
2021,Inyo,25 - 29 years,0
2021,Inyo,30 - 34 years,6
2021,Inyo,35 - 39 years,6
2021,Inyo,40 - 44 years,0
2021,Inyo,45 - 49 years,6
2021,Inyo,50 - 54 years,6
2021,Inyo,55 - 59 years,6
2021,Inyo,60 - 64 years,6
2021,Inyo,65 - 69 years,6
2021,Inyo,70 - 74 years,6
2021,Inyo,75 - 79 years,6
2021,Inyo,80 - 84 years,6
2021,Inyo,85 - 89 years,12
2021,Inyo,90 - 94 years,6
2021,Inyo,95 - 99 years,6
2021,Inyo,100 years and over,6
2021,Kern,Less than 1 year,19
2021,Kern,1 - 4 years,6
2021,Kern,5 - 9 years,6
2021,Kern,10 - 14 years,6
2021,Kern,15 - 19 years,19
2021,Kern,20 - 24 years,34
2021,Kern,25 - 29 years,40
2021,Kern,30 - 34 years,60
2021,Kern,35 - 39 years,54
2021,Kern,40 - 44 years,91
2021,Kern,45 - 49 years,99
2021,Kern,50 - 54 years,137
2021,Kern,55 - 59 years,181
2021,Kern,60 - 64 years,303
2021,Kern,65 - 69 years,298
2021,Kern,70 - 74 years,346
2021,Kern,75 - 79 years,327
2021,Kern,80 - 84 years,313
2021,Kern,85 - 89 years,285
2021,Kern,90 - 94 years,203
2021,Kern,95 - 99 years,90
2021,Kern,100 years and over,25
2021,Kings,Less than 1 year,6
2021,Kings,1 - 4 years,6
2021,Kings,5 - 9 years,0
2021,Kings,10 - 14 years,6
2021,Kings,15 - 19 years,6
2021,Kings,20 - 24 years,0
2021,Kings,25 - 29 years,6
2021,Kings,30 - 34 years,11
2021,Kings,35 - 39 years,6
2021,Kings,40 - 44 years,14
2021,Kings,45 - 49 years,6
2021,Kings,50 - 54 years,30
2021,Kings,55 - 59 years,35
2021,Kings,60 - 64 years,42
2021,Kings,65 - 69 years,47
2021,Kings,70 - 74 years,47
2021,Kings,75 - 79 years,73
2021,Kings,80 - 84 years,41
2021,Kings,85 - 89 years,50
2021,Kings,90 - 94 years,24
2021,Kings,95 - 99 years,14
2021,Kings,100 years and over,6
2021,Lake,Less than 1 year,6
2021,Lake,1 - 4 years,0
2021,Lake,5 - 9 years,0
