Year_of_Death,County_of_Residence,Age,Race_Ethnicity,Total_Deaths_ethnicity
2021,Alpine,15 - 19 years,White,0
2021,Alpine,15 - 19 years,Asian,0
2021,Alpine,15 - 19 years,Black/African-American,0
2021,Alpine,15 - 19 years,Multi-Race,0
2021,Alpine,15 - 19 years,Native American/Alaskan Native,0
2021,Alpine,15 - 19 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,15 - 19 years,Other/Unknown,0
2021,Alpine,20 - 24 years,Hispanic,0
2021,Alpine,20 - 24 years,White,0
2021,Alpine,20 - 24 years,Asian,0
2021,Alpine,20 - 24 years,Black/African-American,0
2021,Alpine,20 - 24 years,Multi-Race,0
2021,Alpine,20 - 24 years,Native American/Alaskan Native,0
2021,Alpine,20 - 24 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,20 - 24 years,Other/Unknown,0
2021,Alpine,25 - 29 years,Hispanic,0
2021,Alpine,25 - 29 years,White,0
2021,Alpine,25 - 29 years,Asian,0
2021,Alpine,25 - 29 years,Black/African-American,0
2021,Alpine,25 - 29 years,Multi-Race,0
2021,Alpine,25 - 29 years,Native American/Alaskan Native,0
2021,Alpine,25 - 29 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,25 - 29 years,Other/Unknown,0
2021,Alpine,30 - 34 years,Hispanic,0
2021,Alpine,30 - 34 years,White,0
2021,Alpine,30 - 34 years,Asian,0
2021,Alpine,30 - 34 years,Black/African-American,6
2021,Alpine,30 - 34 years,Multi-Race,0
2021,Alpine,30 - 34 years,Native American/Alaskan Native,0
2021,Alpine,30 - 34 years,Pacific Islander/Native Hawaiian,6
2021,Alpine,30 - 34 years,Other/Unknown,0
2021,Alpine,35 - 39 years,Hispanic,0
2021,Alpine,35 - 39 years,White,0
2021,Alpine,35 - 39 years,Asian,6
2021,Alpine,35 - 39 years,Black/African-American,0
2021,Alpine,35 - 39 years,Multi-Race,0
2021,Alpine,35 - 39 years,Native American/Alaskan Native,0
2021,Alpine,35 - 39 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,35 - 39 years,Other/Unknown,0
2021,Alpine,40 - 44 years,Hispanic,0
2021,Alpine,40 - 44 years,White,0
2021,Alpine,40 - 44 years,Asian,0
2021,Alpine,40 - 44 years,Black/African-American,0
2021,Alpine,40 - 44 years,Multi-Race,0
2021,Alpine,40 - 44 years,Native American/Alaskan Native,0
2021,Alpine,40 - 44 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,40 - 44 years,Other/Unknown,0
2021,Alpine,45 - 49 years,Hispanic,0
2021,Alpine,45 - 49 years,White,0
2021,Alpine,45 - 49 years,Asian,0
2021,Alpine,45 - 49 years,Black/African-American,0
2021,Alpine,45 - 49 years,Multi-Race,0
2021,Alpine,45 - 49 years,Native American/Alaskan Native,0
2021,Alpine,45 - 49 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,45 - 49 years,Other/Unknown,0
2021,Alpine,50 - 54 years,Hispanic,6
2021,Alpine,50 - 54 years,White,0
2021,Alpine,50 - 54 years,Asian,0
2021,Alpine,50 - 54 years,Black/African-American,0
2021,Alpine,50 - 54 years,Multi-Race,0
2021,Alpine,50 - 54 years,Native American/Alaskan Native,0
2021,Alpine,50 - 54 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,50 - 54 years,Other/Unknown,0
2021,Alpine,55 - 59 years,Hispanic,0
2021,Alpine,55 - 59 years,White,0
2021,Alpine,55 - 59 years,Asian,0
2021,Alpine,55 - 59 years,Black/African-American,0
2021,Alpine,55 - 59 years,Multi-Race,0
2021,Alpine,55 - 59 years,Native American/Alaskan Native,0
2021,Alpine,55 - 59 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,55 - 59 years,Other/Unknown,0
2021,Alpine,60 - 64 years,Hispanic,0
2021,Alpine,60 - 64 years,White,0
2021,Alpine,60 - 64 years,Asian,6
2021,Alpine,60 - 64 years,Black/African-American,0
2021,Alpine,60 - 64 years,Multi-Race,0
2021,Alpine,60 - 64 years,Native American/Alaskan Native,0
2021,Alpine,60 - 64 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,60 - 64 years,Other/Unknown,0
2021,Alpine,65 - 69 years,Hispanic,0
2021,Alpine,65 - 69 years,White,0
2021,Alpine,65 - 69 years,Asian,0
2021,Alpine,65 - 69 years,Black/African-American,0
2021,Alpine,65 - 69 years,Multi-Race,0
2021,Alpine,65 - 69 years,Native American/Alaskan Native,0
2021,Alpine,65 - 69 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,65 - 69 years,Other/Unknown,0
2021,Alpine,70 - 74 years,Hispanic,6
2021,Alpine,70 - 74 years,White,0
2021,Alpine,70 - 74 years,Asian,0
2021,Alpine,70 - 74 years,Black/African-American,0
2021,Alpine,70 - 74 years,Multi-Race,0
2021,Alpine,70 - 74 years,Native American/Alaskan Native,0
2021,Alpine,70 - 74 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,70 - 74 years,Other/Unknown,0
2021,Alpine,75 - 79 years,Hispanic,6
2021,Alpine,75 - 79 years,White,0
2021,Alpine,75 - 79 years,Asian,0
2021,Alpine,75 - 79 years,Black/African-American,0
2021,Alpine,75 - 79 years,Multi-Race,0
2021,Alpine,75 - 79 years,Native American/Alaskan Native,0
2021,Alpine,75 - 79 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,75 - 79 years,Other/Unknown,0
2021,Alpine,80 - 84 years,Hispanic,0
2021,Alpine,80 - 84 years,White,0
2021,Alpine,80 - 84 years,Asian,0
2021,Alpine,80 - 84 years,Black/African-American,0
2021,Alpine,80 - 84 years,Multi-Race,0
2021,Alpine,80 - 84 years,Native American/Alaskan Native,0
2021,Alpine,80 - 84 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,80 - 84 years,Other/Unknown,0
2021,Alpine,85 - 89 years,Hispanic,0
2021,Alpine,85 - 89 years,White,0
2021,Alpine,85 - 89 years,Asian,0
2021,Alpine,85 - 89 years,Black/African-American,6
2021,Alpine,85 - 89 years,Multi-Race,0
2021,Alpine,85 - 89 years,Native American/Alaskan Native,0
2021,Alpine,85 - 89 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,85 - 89 years,Other/Unknown,0
2021,Alpine,90 - 94 years,Hispanic,0
2021,Alpine,90 - 94 years,White,0
2021,Alpine,90 - 94 years,Asian,0
2021,Alpine,90 - 94 years,Black/African-American,0
2021,Alpine,90 - 94 years,Multi-Race,0
2021,Alpine,90 - 94 years,Native American/Alaskan Native,0
2021,Alpine,90 - 94 years,Pacific Islander/Native Hawaiian,0
2021,Alpine,90 - 94 years,Other/Unknown,0
2021,Alpine,95 - 99 years,Hispanic,0
2021,Alpine,95 - 99 years,White,0
2021,Alpine,95 - 99 years,Asian,0
