Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2021,Alpine,45 - 49 years,Unknown,0
2021,Alpine,50 - 54 years,Married (including SRDP),0
2021,Alpine,50 - 54 years,Widowed,0
2021,Alpine,50 - 54 years,Divorced,0
2021,Alpine,50 - 54 years,Never Married,6
2021,Alpine,50 - 54 years,Unknown,0
2021,Alpine,55 - 59 years,Married (including SRDP),0
2021,Alpine,55 - 59 years,Widowed,0
2021,Alpine,55 - 59 years,Divorced,0
2021,Alpine,55 - 59 years,Never Married,0
2021,Alpine,55 - 59 years,Unknown,0
2021,Alpine,60 - 64 years,Married (including SRDP),0
2021,Alpine,60 - 64 years,Widowed,0
2021,Alpine,60 - 64 years,Divorced,0
2021,Alpine,60 - 64 years,Never Married,6
2021,Alpine,60 - 64 years,Unknown,0
2021,Alpine,65 - 69 years,Married (including SRDP),0
2021,Alpine,65 - 69 years,Widowed,0
2021,Alpine,65 - 69 years,Divorced,0
2021,Alpine,65 - 69 years,Never Married,0
2021,Alpine,65 - 69 years,Unknown,0
2021,Alpine,70 - 74 years,Married (including SRDP),6
2021,Alpine,70 - 74 years,Widowed,0
2021,Alpine,70 - 74 years,Divorced,0
2021,Alpine,70 - 74 years,Never Married,0
2021,Alpine,70 - 74 years,Unknown,0
2021,Alpine,75 - 79 years,Married (including SRDP),6
2021,Alpine,75 - 79 years,Widowed,0
2021,Alpine,75 - 79 years,Divorced,0
2021,Alpine,75 - 79 years,Never Married,0
2021,Alpine,75 - 79 years,Unknown,0
2021,Alpine,80 - 84 years,Married (including SRDP),0
2021,Alpine,80 - 84 years,Widowed,0
2021,Alpine,80 - 84 years,Divorced,0
2021,Alpine,80 - 84 years,Never Married,0
2021,Alpine,80 - 84 years,Unknown,0
2021,Alpine,85 - 89 years,Married (including SRDP),0
2021,Alpine,85 - 89 years,Widowed,6
2021,Alpine,85 - 89 years,Divorced,0
2021,Alpine,85 - 89 years,Never Married,0
2021,Alpine,85 - 89 years,Unknown,0
2021,Alpine,90 - 94 years,Married (including SRDP),0
2021,Alpine,90 - 94 years,Widowed,0
2021,Alpine,90 - 94 years,Divorced,0
2021,Alpine,90 - 94 years,Never Married,0
2021,Alpine,90 - 94 years,Unknown,0
2021,Alpine,95 - 99 years,Married (including SRDP),0
2021,Alpine,95 - 99 years,Widowed,0
2021,Alpine,95 - 99 years,Divorced,0
2021,Alpine,95 - 99 years,Never Married,0
2021,Alpine,95 - 99 years,Unknown,0
2021,Alpine,100 years and over,Married (including SRDP),0
2021,Alpine,100 years and over,Widowed,0
2021,Alpine,100 years and over,Divorced,0
2021,Alpine,100 years and over,Never Married,0
2021,Alpine,100 years and over,Unknown,0
