County,2014,2015,2016,2017,2018,2019,Pop%_2014,Pop%_2015,Pop%_2016,Pop%_2017,Pop%_2018,Pop%_2019
Lassen,31664.0,31256.0,30721.0,30920.0,30618.0,30573.0,0.0820375235653201,0.0803123589584214,0.0784356939010854,0.0785599104559302,0.0775893762815627,0.0773760565180045
Los Angeles,10040072.0,10085416.0,10105708.0,10103711.0,10073906.0,10039107.0,26.012589795904194,25.914498017564856,25.801510997094837,25.67097773067909,25.528384716803597,25.40759855500917
Madera,153456.0,153576.0,153956.0,155423.0,156882.0,157327.0,0.3975855929838227,0.3946138609994413,0.3930746294142609,0.3948905874124208,0.3975562260697668,0.3981729906717726
Marin,260359.0,260916.0,260562.0,259749.0,259662.0,258826.0,0.6745580974590443,0.6704242209494335,0.6652570318106386,0.6599566035257901,0.6580120394546718,0.6550529946138439
Mariposa,17714.0,17622.0,17456.0,17414.0,17405.0,17203.0,0.045894791954146,0.0452797667508735,0.044567998201144,0.0442445757011503,0.0441061824475994,0.043538426071345
Mendocino,87225.0,87107.0,87285.0,87576.0,87401.0,86749.0,0.225989230450513,0.2238216231056827,0.2228527568163875,0.2225084967040281,0.2214837375525789,0.2195497833670355
Merced,264419.0,266353.0,267628.0,271096.0,274151.0,277680.0,0.6850770573401457,0.6843946040968913,0.6832976754454508,0.688786464584763,0.6947287574945032,0.7027698745271811
Modoc,9068.0,9056.0,8961.0,8876.0,8800.0,8841.0,0.0234940709856721,0.02326941140029,0.0228788858776611,0.0225516741658097,0.0223001669370224,0.0223753545833146
Mono,14134.0,14077.0,14273.0,14354.0,14403.0,14444.0,0.036619452945687,0.0361708816565683,0.0364412831304382,0.0364698885732348,0.0364987845902197,0.0365557766770044
Monterey,428475.0,430552.0,433953.0,434534.0,433950.0,434061.0,1.1101259445948248,1.1063042863535413,1.1079523672881004,1.104041142627982,1.0996769820819172,1.098548669357328
Napa,140405.0,140862.0,140840.0,139878.0,138789.0,137744.0,0.3637720596320354,0.3619452107627708,0.3595873548722005,0.3553946686531246,0.351706576025273,0.3486111120601845
Nevada,98572.0,98676.0,98913.0,99367.0,99508.0,99755.0,0.2553879097044193,0.2535481933894675,0.2525409261039049,0.2524664496207769,0.2521642058601392,0.2524661798957756
Orange,3126537.0,3149280.0,3164986.0,3174289.0,3175973.0,3175692.0,8.100472233935864,8.092081706570822,8.080722408034271,8.065066610648268,8.048264555394983,8.037239514466195
Placer,369217.0,372841.0,378943.0,385115.0,392330.0,398329.0,0.956595766113466,0.9580157482216796,0.9675029183281476,0.978479945512147,0.994207328909318,1.0081158936565022
Plumas,18622.0,18427.0,18665.0,18660.0,18741.0,18807.0,0.0482473081048948,0.0473482159753913,0.0476547712204602,0.0474103469957198,0.0474917532462201,0.0475979293799794
Riverside,2316162.0,2345816.0,2380081.0,2414964.0,2445789.0,2470546.0,6.0008904325448125,6.0275792373435,6.076732683694845,6.135813570320025,6.197898067356032,6.252612008187948
Sacramento,1474917.0,1493674.0,1510987.0,1527301.0,1538746.0,1552058.0,3.821328263781936,3.837998542835335,3.85779479250413,3.880486086651124,3.8993514401903946,3.928045253237207
San Benito,57825.0,58216.0,59225.0,60164.0,61467.0,62808.0,0.1498174520011569,0.1495861367137018,0.1512110273523578,0.152861528223499,0.1557641319452222,0.1589584063645318
San Bernardino,2099181.0,2115411.0,2131960.0,2150945.0,2166753.0,2180085.0,5.438719389697202,5.4355530962565055,5.443239541986202,5.465007975279137,5.490790183101602,5.517495181174696
San Diego,3248877.0,3280850.0,3306089.0,3321237.0,3333861.0,3338330.0,8.417440103850634,8.430151103427729,8.440981244547563,8.438424363613276,8.448370096003233,8.448853915407392
San Francisco,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,2.2041884529180167,2.2175060437902263,2.2251114372293475,2.2308778711748065,2.231780434178168,2.2310792283187912
San Joaquin,711579.0,722271.0,732809.0,743296.0,752491.0,762148.0,1.8436135352793996,1.8558768817909528,1.8709801898362852,1.888527399814073,1.9068948771144236,1.92889172547948
San Luis Obispo,278227.0,280077.0,281803.0,282481.0,283354.0,283111.0,0.7208518844431631,0.7196584514972425,0.719488748686813,0.7177128740459779,0.7180501707128462,0.7165149882860299
San Mateo,757204.0,765055.0,767906.0,768901.0,768681.0,766573.0,1.961822290100892,1.965810461445327,1.9605885212332577,1.953583237693248,1.947922116058786,1.9400907916519907
Santa Barbara,439045.0,442229.0,444340.0,445298.0,445780.0,446499.0,1.1375115125611408,1.13630836286869,1.1344720623680318,1.131389747936767,1.129655501952937,1.1300275360361274
Santa Clara,1891753.0,1916285.0,1928368.0,1932510.0,1932337.0,1927852.0,4.901298993091998,4.923898412677205,4.923436156917038,4.910019810969915,4.896754281657393,4.87912816244229
Santa Cruz,270861.0,273503.0,274396.0,274856.0,273841.0,273213.0,0.7017674858017359,0.7027665444140373,0.7005774767645012,0.6983396749118748,0.693943183431949,0.691464512133372
Shasta,178844.0,178314.0,178571.0,179384.0,179709.0,180080.0,0.4633627736393415,0.4581782049946239,0.4559207153286263,0.4557694365209118,0.4554023522824271,0.4557577031289786
