Year_of_Death,County_of_Residence,Age,Sex,Total_Deaths_sex
2021,Colusa,95 - 99 years,Female,6
2021,Colusa,95 - 99 years,Male,6
2021,Colusa,100 years and over,Female,6
2021,Colusa,100 years and over,Male,6
2021,Contra Costa,Less than 1 year,Female,6
2021,Contra Costa,Less than 1 year,Male,6
2021,Contra Costa,1 - 4 years,Female,6
2021,Contra Costa,1 - 4 years,Male,6
2021,Contra Costa,5 - 9 years,Female,6
2021,Contra Costa,5 - 9 years,Male,0
2021,Contra Costa,10 - 14 years,Female,6
2021,Contra Costa,10 - 14 years,Male,0
2021,Contra Costa,15 - 19 years,Female,6
2021,Contra Costa,15 - 19 years,Male,6
2021,Contra Costa,20 - 24 years,Female,6
2021,Contra Costa,20 - 24 years,Male,20
2021,Contra Costa,25 - 29 years,Female,6
2021,Contra Costa,25 - 29 years,Male,29
2021,Contra Costa,30 - 34 years,Female,12
2021,Contra Costa,30 - 34 years,Male,30
2021,Contra Costa,35 - 39 years,Female,14
2021,Contra Costa,35 - 39 years,Male,33
2021,Contra Costa,40 - 44 years,Female,18
2021,Contra Costa,40 - 44 years,Male,34
2021,Contra Costa,45 - 49 years,Female,20
2021,Contra Costa,45 - 49 years,Male,47
2021,Contra Costa,50 - 54 years,Female,41
2021,Contra Costa,50 - 54 years,Male,76
2021,Contra Costa,55 - 59 years,Female,45
2021,Contra Costa,55 - 59 years,Male,105
2021,Contra Costa,60 - 64 years,Female,94
2021,Contra Costa,60 - 64 years,Male,140
2021,Contra Costa,65 - 69 years,Female,97
2021,Contra Costa,65 - 69 years,Male,146
2021,Contra Costa,70 - 74 years,Female,148
2021,Contra Costa,70 - 74 years,Male,172
2021,Contra Costa,75 - 79 years,Female,169
2021,Contra Costa,75 - 79 years,Male,199
2021,Contra Costa,80 - 84 years,Female,183
2021,Contra Costa,80 - 84 years,Male,212
2021,Contra Costa,85 - 89 years,Female,242
2021,Contra Costa,85 - 89 years,Male,208
2021,Contra Costa,90 - 94 years,Female,228
2021,Contra Costa,90 - 94 years,Male,148
2021,Contra Costa,95 - 99 years,Female,156
2021,Contra Costa,95 - 99 years,Male,73
2021,Contra Costa,100 years and over,Female,42
2021,Contra Costa,100 years and over,Male,6
2021,Del Norte,Less than 1 year,Female,0
2021,Del Norte,Less than 1 year,Male,0
2021,Del Norte,1 - 4 years,Female,0
2021,Del Norte,1 - 4 years,Male,0
2021,Del Norte,5 - 9 years,Female,0
2021,Del Norte,5 - 9 years,Male,0
2021,Del Norte,10 - 14 years,Female,0
2021,Del Norte,10 - 14 years,Male,0
2021,Del Norte,15 - 19 years,Female,0
2021,Del Norte,15 - 19 years,Male,0
2021,Del Norte,20 - 24 years,Female,0
2021,Del Norte,20 - 24 years,Male,6
2021,Del Norte,25 - 29 years,Female,0
2021,Del Norte,25 - 29 years,Male,6
2021,Del Norte,30 - 34 years,Female,0
2021,Del Norte,30 - 34 years,Male,6
2021,Del Norte,35 - 39 years,Female,6
2021,Del Norte,35 - 39 years,Male,6
2021,Del Norte,40 - 44 years,Female,0
2021,Del Norte,40 - 44 years,Male,6
2021,Del Norte,45 - 49 years,Female,6
2021,Del Norte,45 - 49 years,Male,6
2021,Del Norte,50 - 54 years,Female,6
2021,Del Norte,50 - 54 years,Male,6
2021,Del Norte,55 - 59 years,Female,6
2021,Del Norte,55 - 59 years,Male,6
2021,Del Norte,60 - 64 years,Female,6
2021,Del Norte,60 - 64 years,Male,6
2021,Del Norte,65 - 69 years,Female,6
2021,Del Norte,65 - 69 years,Male,6
2021,Del Norte,70 - 74 years,Female,6
2021,Del Norte,70 - 74 years,Male,6
2021,Del Norte,75 - 79 years,Female,6
2021,Del Norte,75 - 79 years,Male,6
2021,Del Norte,80 - 84 years,Female,6
2021,Del Norte,80 - 84 years,Male,6
2021,Del Norte,85 - 89 years,Female,6
2021,Del Norte,85 - 89 years,Male,6
2021,Del Norte,90 - 94 years,Female,6
2021,Del Norte,90 - 94 years,Male,6
2021,Del Norte,95 - 99 years,Female,6
2021,Del Norte,95 - 99 years,Male,0
2021,Del Norte,100 years and over,Female,0
2021,Del Norte,100 years and over,Male,0
2021,El Dorado,Less than 1 year,Female,0
2021,El Dorado,Less than 1 year,Male,6
2021,El Dorado,1 - 4 years,Female,0
2021,El Dorado,1 - 4 years,Male,6
2021,El Dorado,5 - 9 years,Female,0
2021,El Dorado,5 - 9 years,Male,0
2021,El Dorado,10 - 14 years,Female,6
2021,El Dorado,10 - 14 years,Male,0
2021,El Dorado,15 - 19 years,Female,6
2021,El Dorado,15 - 19 years,Male,6
2021,El Dorado,20 - 24 years,Female,6
2021,El Dorado,20 - 24 years,Male,6
2021,El Dorado,25 - 29 years,Female,6
2021,El Dorado,25 - 29 years,Male,6
2021,El Dorado,30 - 34 years,Female,0
2021,El Dorado,30 - 34 years,Male,6
2021,El Dorado,35 - 39 years,Female,6
2021,El Dorado,35 - 39 years,Male,6
2021,El Dorado,40 - 44 years,Female,6
2021,El Dorado,40 - 44 years,Male,6
2021,El Dorado,45 - 49 years,Female,6
2021,El Dorado,45 - 49 years,Male,6
2021,El Dorado,50 - 54 years,Female,6
2021,El Dorado,50 - 54 years,Male,6
2021,El Dorado,55 - 59 years,Female,11
2021,El Dorado,55 - 59 years,Male,13
2021,El Dorado,60 - 64 years,Female,14
2021,El Dorado,60 - 64 years,Male,28
2021,El Dorado,65 - 69 years,Female,21
2021,El Dorado,65 - 69 years,Male,40
2021,El Dorado,70 - 74 years,Female,19
2021,El Dorado,70 - 74 years,Male,40
2021,El Dorado,75 - 79 years,Female,37
2021,El Dorado,75 - 79 years,Male,47
2021,El Dorado,80 - 84 years,Female,43
2021,El Dorado,80 - 84 years,Male,34
2021,El Dorado,85 - 89 years,Female,41
2021,El Dorado,85 - 89 years,Male,41
